6.1248
year,month,day,tmin,tmax,wind,rain
# Alor Setar, kedah; 6.1248, 100.3678; 2020-2024
2020,1,1,23.9,33.3,3.3,0
2020,1,2,25.4,32.9,3.1,0
2020,1,3,25,33.8,3.1,0
2020,1,4,25.3,33.7,3.3,0
2020,1,5,22.6,33.7,2.6,0
2020,1,6,23.3,33.9,2.5,0
2020,1,7,23,33.6,2.4,0
2020,1,8,25,33.8,2.7,0
2020,1,9,25.5,34.7,2.9,0
2020,1,10,23.6,34.7,2.3,0
2020,1,11,23.9,32.5,1.5,0
2020,1,12,23.2,32.2,1.2,0
2020,1,13,23.4,34.2,2.2,0
2020,1,14,22.4,34.2,2.7,0
2020,1,15,22.7,33.7,2.1,0
2020,1,16,22,33.9,2,0
2020,1,17,21.8,35.2,2,0
2020,1,18,26.5,34.8,2.7,0
2020,1,19,24.8,34.9,2.5,0
2020,1,20,25.7,35.1,2.7,0
2020,1,21,25.9,33.6,3,0
2020,1,22,23.7,34.8,2.6,0
2020,1,23,23.4,35.9,2.1,0
2020,1,24,23.4,34.5,2.3,0
2020,1,25,21.1,34,2.1,0
2020,1,26,22.8,33.5,1.8,0
2020,1,27,23,33.8,1.6,0
2020,1,28,23.1,33.5,1.7,0
2020,1,29,24.5,33.7,1.8,0
2020,1,30,23.2,34.5,1.8,0
2020,1,31,24.1,35.1,1.6,1.4
2020,2,1,25.9,34.5,3.1,0
2020,2,2,25.3,34.7,3.2,0
2020,2,3,23.2,34.4,2.3,0
2020,2,4,23.6,34.6,2.7,0
2020,2,5,21.6,34.9,2.1,0
2020,2,6,23.8,34.4,1.8,0
2020,2,7,23.9,35.7,2.5,0
2020,2,8,21.5,34.8,2.6,0
2020,2,9,22.1,35.2,2.3,0
2020,2,10,24.3,32.8,2.6,30.4
2020,2,11,24.3,33,2.2,2.2
2020,2,12,25.8,33.6,2.4,10.6
2020,2,13,25,34.3,1.7,0
2020,2,14,25.1,34.1,1.7,0
2020,2,15,24.5,34.3,1.5,0
2020,2,16,24.2,34.7,1.6,0
2020,2,17,22.5,35.3,2.3,0
2020,2,18,26.4,33.9,3.2,0
2020,2,19,24.2,34.7,2.7,0
2020,2,20,23.9,34.3,3.5,0
2020,2,21,25.2,34.5,3.7,0.8
2020,2,22,24,33.4,3.5,0
2020,2,23,25.1,33.4,3.6,0
2020,2,24,24.9,35.2,3.4,0
2020,2,25,22.9,35.7,2.3,0
2020,2,26,22.6,35.6,2.5,0
2020,2,27,23.3,35.7,2.4,0
2020,2,28,24.1,36.2,2.3,0
2020,2,29,22.9,36.9,2.2,0
2020,3,1,23.2,37.1,2.5,0
2020,3,2,23.1,36.2,1.7,0
2020,3,3,23.1,36.7,2.2,0
2020,3,4,24,36.2,2.1,0
2020,3,5,24.7,36.3,1.6,0.2
2020,3,6,24.8,34.3,1.4,3.2
2020,3,7,24.1,35.9,1.4,1.4
2020,3,8,24,35.7,1.9,0
2020,3,9,24.6,35.7,1.6,0
2020,3,10,25.6,35.6,1.9,0
2020,3,11,27.1,34,1.4,4.6
2020,3,12,24,36.6,1.6,0
2020,3,13,23.5,36.2,1.3,0
2020,3,14,25,38.6,2,0
2020,3,15,25.4,37.3,2.3,0
2020,3,16,25.5,37.2,2.7,0
2020,3,17,25.7,36.4,3.1,0
2020,3,18,23.6,36.7,1.9,0
2020,3,19,23.1,37.4,1.6,0
2020,3,20,21.6,37.4,1.6,0
2020,3,21,22.3,36.6,1.7,0
2020,3,22,22.9,36.2,2,0
2020,3,23,24.4,36.8,2,0
2020,3,24,24.9,36.3,1.5,27.2
