2.8136
year,month,day,tmin,tmax,wind,rain
# Banting, Selangor; 2.8136 101.50185; 2017-2019
2017,1,1,23.4874877026872,32.4685737555493,1.3118437979743,38
2017,1,2,24.2520938507689,32.7281270193573,1.56287320198461,0
2017,1,3,24.2207086715567,31.7077691950442,1.67394367357159,39.1
2017,1,4,22.561274731066,31.4417336077162,1.54706599922834,0
2017,1,5,23.6904746716557,31.5414950331257,1.56158789916239,0
2017,1,6,25.4625708726572,30.10905056743,1.57443937399572,0
2017,1,7,23.7455654320145,28.8127925024475,1.77854886766396,0
2017,1,8,23.2415254660429,30.395566465812,1.64206342193528,0
2017,1,9,22.9457519075811,31.133941506959,1.68989325643982,0
2017,1,10,25.1503391600807,31.9492501145843,1.90276465003391,0
2017,1,11,24.4568445319587,30.7053913585497,1.97487696388586,0
2017,1,12,25.0162524492488,29.8557736601266,1.50005065242691,0
2017,1,13,25.5529728784932,30.4718855186899,1.66614349405311,8.7
2017,1,14,24.0861896220359,30.004838318658,1.55989633077938,6.3
2017,1,15,24.5750975433847,31.6387680500724,1.64389803484431,13.3
2017,1,16,23.6982393694699,31.3836683175619,1.7553500194151,0
2017,1,17,24.3,30.8,1.7,0
2017,1,18,23.5,31.9,1.7,0
2017,1,19,23.4,30.9,1.7,0
2017,1,20,24.1,30.2,1.6,5.8
2017,1,21,23.7,29.3,1.8,0
2017,1,22,22.2,32,1.6,0
2017,1,23,23.6,27.7,1.7,40.3
2017,1,24,23.2,24.3,1.8,11.8
2017,1,25,22.3,29.6,2,13.9
2017,1,26,23,30,1.6,29.2
2017,1,27,22.3,30.9,1.6,28.8
2017,1,28,22.5,30.1,1.7,0
2017,1,29,23,29.6,1.5,0.5
2017,1,30,23.6,30.8,1.7,0
2017,1,31,23.9,29.9,1.6,22.7
2017,2,1,24.3,30.2,1.6,48.68
2017,2,2,21.8,30.5,1.6,2.2
2017,2,3,23.1,32.6,1.8,0
2017,2,4,24.1,32.9,1.7,0
2017,2,5,24.7,31.5,1.7,0
2017,2,6,24.4,32.2,1.8,0
2017,2,7,24.9,29.5,1.5,24.3
2017,2,8,24.2,31.1,1.8,1
2017,2,9,24,32.3,2,0
2017,2,10,24.2,33.2,2,0
2017,2,11,23.3,33.1,1.8,0
2017,2,12,22.2,32.7,1.6,1.5
2017,2,13,23.1,31.9,1.9,0
2017,2,14,22.2,32.1,1.7,0.7
2017,2,15,22,31.4,1.9,0
2017,2,16,21.6,32,1.7,0
2017,2,17,24.3,32.2,1.7,0
2017,2,18,22.7,32.1,1.7,0
2017,2,19,24,32.5,1.7,0
2017,2,20,23.4,32.1,1.8,0
2017,2,21,24.1,30.8,1.7,21.5
2017,2,22,24,31.3,1.8,0
2017,2,23,24.2,31.4,2,43.2
2017,2,24,23.3,31,2,5
2017,2,25,23.1,32.1,1.8,10.5
2017,2,26,23.9,31.6,1.8,8.1
2017,2,27,24.3,30.6,1.6,14.7
2017,2,28,22.9,31.5,1.6,19.3
2017,3,1,23.6,29.7,1.6,0
2017,3,2,23.6,31.1,1.5,28.7
2017,3,3,23.3,31.9,1.6,0
2017,3,4,22.7,31.2,1.7,1.3
2017,3,5,23.8,30.4,1.6,2.1
2017,3,6,23.8,32.5,1.8,4.2
2017,3,7,23.5,32,1.7,0
2017,3,8,23.4,31.7,1.8,0
2017,3,9,23.2,32.4,1.7,0
2017,3,10,23,33,1.7,0
