3.1713
year,month,day,tmin,tmax,wind,rain
# Bintulu, Sarawak; 3.1713, 113.0419; 2017, 2016-2020
2016,1,1,24.8,31.5,2.222,23.37
2016,1,2,25.1,32.3,1.583,0
2016,1,3,25.4,28.9,1.5,0
2016,1,4,24.3,32.2,1.806,19.3
2016,1,5,26.2,32.8,1.333,0
2016,1,6,26.4,30.5,1.556,0
2016,1,7,25.1,32.2,2.306,0
2016,1,8,24.7,27.7,1.222,19.05
2016,1,9,25,31.5,1.944,5.08
2016,1,10,23.3,31.3,0.972,53.09
2016,1,11,25.3,30.9,1.639,0
2016,1,12,25.4,31.9,1.917,1.02
2016,1,13,24,33,1.861,0
2016,1,14,24.1,32.5,1.75,26.92
2016,1,15,24.8,33.8,1.806,0
2016,1,16,24,30,1.444,54.61
2016,1,17,25,32.1,1.5,32
2016,1,18,24.9,31.7,1.806,0
2016,1,19,25.5,31.8,1.861,0
2016,1,20,25.3,32.4,1.861,0
2016,1,21,23.9,32.7,1.806,1.27
2016,1,22,23.6,32,1.806,20.07
2016,1,23,25.3,30.9,2.056,0
2016,1,24,24.8,32.4,2.722,0
2016,1,25,24.3,30.6,2,2.03
2016,1,26,24.5,31.8,1.583,0
2016,1,27,25.1,32.2,1.806,0
2016,1,28,25,32.5,1.917,0
2016,1,29,25.9,31.6,2.306,0
2016,1,30,23.5,29.9,1.694,69.09
2016,1,31,25.2,31.3,2.833,0
2016,2,1,25.5,31.4,1.861,7.11
2016,2,2,25.3,31.5,2.417,0
2016,2,3,24.6,32.3,2.056,0
2016,2,4,23.9,29.9,1.5,40.89
2016,2,5,24.8,31.3,2,1.78
2016,2,6,25.5,30.2,2.056,2.29
2016,2,7,24.9,30.4,2.944,11.68
2016,2,8,24.8,30.4,2.417,1.27
2016,2,9,24.4,31.8,1.806,11.18
2016,2,10,25.3,30.4,1.556,14.22
2016,2,11,25.1,32.3,2.611,8.89
2016,2,12,23.5,30.8,1.333,81.28
2016,2,13,25,32.3,1.861,0
2016,2,14,23.6,31.8,1.639,34.04
2016,2,15,24.1,32.4,2.944,0
2016,2,16,24.4,31.1,2.611,0
2016,2,17,25.2,31.7,2.111,0
2016,2,18,24.8,30.9,2.361,0
2016,2,19,25.2,30.5,2.972,8.64
2016,2,20,25.8,30.5,3.25,2.03
2016,2,21,25.1,30.6,2.583,3.05
2016,2,22,25.2,31.3,1.75,0
2016,2,23,24.9,31.5,2.583,0
2016,2,24,24.6,29.1,2.944,25.15
2016,2,25,23.7,29.2,1.944,0
2016,2,26,23.9,31.4,2.111,0.51
2016,2,27,24.8,30.7,2.25,1.52
2016,2,28,25.4,31.5,2.889,2.03
2016,2,29,25.5,31.4,2.417,0.51
2016,3,1,25.2,30.3,2.528,0.51
2016,3,2,25,31,2.25,23.11
2016,3,3,25.1,30.7,2,12.7
2016,3,4,24.7,30.9,1.75,3.56
2016,3,5,25.4,29.5,1.917,0.25
2016,3,6,24.5,32.1,2.222,13.72
2016,3,7,25.6,30.7,2.25,1.78
2016,3,8,25.1,32.6,2.167,0.25
2016,3,9,24.9,28.5,1.639,0.51
2016,3,10,24.4,33.7,2.417,15.75
2016,3,11,26.2,32.1,2.167,1.27
2016,3,12,26.1,31.5,2.417,2.54
2016,3,13,24.3,31.9,2.056,1.27
2016,3,14,23.2,32.6,1.5,34.04
2016,3,15,25.3,30.4,1.556,13.46
2016,3,16,24.9,32.7,2.167,0.76
2016,3,17,24.2,28.7,1.333,0
2016,3,18,24.5,32.9,1.861,0.51
2016,3,19,25.2,33,1.944,23.88
2016,3,20,24.9,32.7,1.861,0
2016,3,21,25.8,32,1.694,0
2016,3,22,24.8,32.5,2.417,0
2016,3,23,25,32.1,2.611,0
2016,3,24,24.2,33.9,2.25,0
2016,3,25,25.2,31.9,2.528,22.1
2016,3,26,24.4,31.9,1.806,0.51
2016,3,27,24.4,32,2.944,0
2016,3,28,25.3,31.2,2.972,0
2016,3,29,25.4,30.2,2.528,0
2016,3,30,25.7,31.1,1.944,3.05
2016,3,31,25.6,31.8,2,0.25
2016,4,1,25.7,32.2,2.111,0
2016,4,2,25.5,33.3,2.417,0
2016,4,3,25.5,33.3,2.056,1.52
2016,4,4,26.1,31.4,1.75,2.79
2016,4,5,25.2,32.5,1.75,4.06
2016,4,6,25,33.7,1.694,0
2016,4,7,25.8,33.4,1.944,0
2016,4,8,25.7,33.1,1.917,1.52
2016,4,9,25.3,30.7,1.861,6.86
2016,4,10,25,30.4,1.444,15.75
2016,4,11,24.6,33.7,2.25,9.91
2016,4,12,25.2,33.2,2.306,0
2016,4,13,24.9,33.5,2.25,4.06
2016,4,14,24.6,33.1,1.75,0
2016,4,15,24,33.2,1.639,2.54
2016,4,16,25.6,33.8,2.056,0
2016,4,17,26.1,34.4,1.75,0
2016,4,18,26.1,32,2.361,0
2016,4,19,25.1,34.4,1.944,0
2016,4,20,25.5,32.6,1.75,1.78
2016,4,21,24.4,27.7,1.806,0
2016,4,22,23.8,34.1,1.694,6.86
2016,4,23,25.2,30.3,2.222,0
2016,4,24,24.4,33.9,2.111,6.6
2016,4,25,24.8,33,2.222,3.56
2016,4,26,25.7,32.9,2.056,0
2016,4,27,24.8,30,1.861,5.84
2016,4,28,24.6,33.8,1.75,28.7
2016,4,29,24.6,30.2,1.556,20.57
2016,4,30,24.5,33.7,1.917,7.11
2016,5,1,24.8,31.8,1.806,6.6
2016,5,2,24.3,33.3,1.917,15.75
2016,5,3,24.1,32.3,1.5,6.6
2016,5,4,25.1,33.8,2.222,0.25
2016,5,5,25.2,34.2,2.25,0
2016,5,6,23.7,31,1.278,50.29
2016,5,7,23.9,33.7,1.583,18.29
2016,5,8,23.6,31.1,2,7.87
2016,5,9,24.6,32.6,2.222,3.81
2016,5,10,24.9,33.4,1.694,0
2016,5,11,25.9,32.3,2.361,0
2016,5,12,23.6,27.6,0.917,60.96
2016,5,13,24,32.4,2,16.51
2016,5,14,24.6,31.7,1.556,26.92
2016,5,15,25.9,32.5,1.5,0.25
2016,5,16,24.3,32.8,2.306,4.57
2016,5,17,24.5,33.4,2.583,5.84
2016,5,18,24,33.4,1.861,12.19
2016,5,19,25.4,32.7,1.861,0
2016,5,20,24.8,34.1,1.944,0
2016,5,21,24.4,33.3,2.222,0
2016,5,22,25,32,2.472,0
2016,5,23,24.6,31,1.694,1.02
2016,5,24,24.8,35.6,1.556,1.02
2016,5,25,25.6,34.3,1.583,0
2016,5,26,26.1,34.4,1.75,0
2016,5,27,26.1,34.8,1.583,0
2016,5,28,24.2,28,1.75,3.56
2016,5,29,23.4,33.4,2.25,5.59
2016,5,30,25.1,33.1,2.056,4.83
2016,5,31,24.5,30.1,2.306,2.54
2016,6,1,23.6,30,1.861,2.29
2016,6,2,24.5,34,1.806,0.51
2016,6,3,24.7,28.2,1.583,0
2016,6,4,23.8,32.2,2,8.89
2016,6,5,23.3,33,1.389,3.3
2016,6,6,24.4,32.9,2.361,0
2016,6,7,24.6,33,1.5,0
2016,6,8,24.3,31,2.167,0
2016,6,9,24.3,33.8,2.167,0
2016,6,10,25,34.5,1.583,0
2016,6,11,24.7,32.1,2,0
2016,6,12,23.2,30.7,1.694,18.29
2016,6,13,24.2,29.3,2.056,1.52
2016,6,14,23.5,33.3,1.75,0.51
2016,6,15,24.5,31.6,1.694,0
2016,6,16,23.8,33.4,1.75,3.56
2016,6,17,25.2,30.9,2.167,2.79
2016,6,18,23.9,29.4,2.056,8.89
2016,6,19,24,28.2,2.833,37.08
2016,6,20,24.2,31.4,1.278,0.25
2016,6,21,24,32.7,2.222,0
2016,6,22,22,28.7,1.5,6.6
2016,6,23,23.6,32,2.306,0
2016,6,24,23.1,32.6,2.25,0
2016,6,25,23.5,26.9,1.5,0.51
2016,6,26,23.2,33.5,1.917,1.27
2016,6,27,22.8,31.1,2.667,0
2016,6,28,21.8,31.4,1.806,7.87
2016,6,29,24,33.3,1.75,0
2016,6,30,24.5,33.7,1.389,0
2016,7,1,24.4,32.8,1.5,0
2016,7,2,22.8,32,2.361,0
2016,7,3,22.9,32.6,2.472,61.98
2016,7,4,22.7,33.6,1.556,0
2016,7,5,24.5,33.5,2.111,0
2016,7,6,24.8,33,2.167,0
2016,7,7,24,31.8,1.861,0
2016,7,8,24.7,33.6,2.111,0
2016,7,9,24.8,33.4,1.444,0
2016,7,10,25.1,33.6,2,0.25
2016,7,11,23.7,32.4,1.75,10.92
2016,7,12,24.2,33.8,2.528,0
2016,7,13,24.3,34.1,2.222,0
2016,7,14,24,33,2.167,0
2016,7,15,23.4,32.1,2,1.02
2016,7,16,23.7,31.8,1.944,18.54
2016,7,17,22.9,31.2,1.75,90.93
2016,7,18,24.1,30.6,1.806,0.25
2016,7,19,23.7,28.2,2.306,0.51
2016,7,20,22.9,30.5,2.306,9.91
2016,7,21,22.5,30.9,2,39.12
2016,7,22,23.3,30,1.639,10.92
2016,7,23,23.6,31.1,2.167,7.87
2016,7,24,23.1,30.5,2.889,4.06
2016,7,25,23.5,29.5,1.944,0.25
2016,7,26,23.4,27.3,2.611,3.05
2016,7,27,22.9,30.9,1.639,23.11
2016,7,28,23.5,32.5,1.194,0
2016,7,29,23,32.5,2.361,0
2016,7,30,22.5,28.1,2.306,48.77
2016,7,31,22,31,3.083,4.83
2016,8,1,21.7,32.6,2.528,29.46
2016,8,2,23.3,32.5,2.25,0
2016,8,3,22,32.5,1.806,67.06
2016,8,4,23.9,34.3,1.75,0
2016,8,5,23.3,32.8,1.583,30.73
2016,8,6,25.1,32.4,1.917,0
2016,8,7,24.5,32.1,1.694,0
2016,8,8,24.7,33.5,1.222,0
2016,8,9,25.2,33.6,2.111,0
2016,8,10,23.4,33.8,2.111,0
2016,8,11,23.4,32.5,1.694,21.34
2016,8,12,25.8,34.2,1.5,0
2016,8,13,25.8,33.8,1.694,0
2016,8,14,24.4,32.8,2.222,0
2016,8,15,23.2,33.8,2.306,0
2016,8,16,24,34.3,2.667,1.52
2016,8,17,22.3,33.9,1.694,22.1
2016,8,18,25.7,34,2.306,0
2016,8,19,22.9,31.7,1.5,2.29
2016,8,20,23.1,30.7,1.639,0
2016,8,21,22.4,33.5,2.833,9.14
