2.016667
year,month,day,tmin,tmax,wind,rain
# Kluang, Johor; 2.016667, 103.316667; 2020-2024
2020,1,1,23.6,30.4,3.2,7.2
2020,1,2,23.9,30.3,2.6,6
2020,1,3,24.6,30.2,3.3,2.4
2020,1,4,24.9,30.7,4.2,0
2020,1,5,24.6,31.1,4.1,0
2020,1,6,23.1,30.6,2.4,9.4
2020,1,7,23,29.9,3.1,0.2
2020,1,8,24.4,30.7,3.8,1
2020,1,9,24.5,30.8,4.2,0
2020,1,10,23.4,30.3,2.8,0
2020,1,11,23.9,30.5,2.2,0
2020,1,12,24.4,31.1,2.4,5
2020,1,13,23.6,31.3,3.8,0
2020,1,14,24.3,31.3,4,0
2020,1,15,24.3,31.7,4,0
2020,1,16,25.2,32.7,3.7,0
2020,1,17,24.6,31.9,3.7,0
2020,1,18,24.5,31.7,3.6,0.2
2020,1,19,24.9,32,3.3,0
2020,1,20,25.4,30.8,3.4,0
2020,1,21,23.9,28.2,3.2,47.8
2020,1,22,24.7,31.5,3.8,0
2020,1,23,24,32,3.8,0
2020,1,24,24.5,31.6,4.5,0
2020,1,25,23.6,32.5,3.1,0
2020,1,26,24,33.2,2.8,0
2020,1,27,25.1,31.8,2.8,0
2020,1,28,23.7,31.85,2.8,102
2020,1,29,23.7,31.85,2.8,82.6
2020,1,30,22.2,31.9,2.8,0
2020,1,31,24.9,31.4,3.2,0
2020,2,1,24.5,30.3,3.1,1.8
2020,2,2,24.6,30.6,4.2,0
2020,2,3,24,31.5,3.6,0
2020,2,4,23.1,30.7,3.3,0
2020,2,5,23.8,31.7,3.8,0
2020,2,6,24.3,32.3,4.1,0
2020,2,7,24.6,31.2,4.4,0
2020,2,8,23.1,30.8,3.1,0
2020,2,9,23.5,31.6,1.8,17.6
2020,2,10,23.1,29.5,1.9,0
2020,2,11,24,29.8,2.4,3.2
2020,2,12,23.5,33.3,2.6,2.2
2020,2,13,24.8,32.4,3.4,0
2020,2,14,24.9,32.8,3.3,0
2020,2,15,24.4,33.6,2.2,0
2020,2,16,24.3,33.4,2.2,7.2
2020,2,17,24.9,33.4,3.5,4.8
2020,2,18,23.3,25.8,2.1,10.6
2020,2,19,24.3,30.9,3.7,1
2020,2,20,24.3,31.2,4.5,5
2020,2,21,23.8,28.3,3.3,7.6
2020,2,22,24.7,30.8,4.3,0
2020,2,23,24.5,31.5,4.8,0
2020,2,24,24.8,29.3,4.7,2
2020,2,25,24.4,31.7,3.9,0
2020,2,26,24.6,32.3,4.2,0
2020,2,27,24.7,32.2,3.7,0
2020,2,28,24.7,32.7,4.3,0
2020,2,29,24,32.1,3.6,0
2020,3,1,23.9,32.8,3.3,0
2020,3,2,23.5,32.7,3,0
2020,3,3,24.6,32.6,3.6,0
2020,3,4,24.3,33.4,2.8,0
2020,3,5,25.1,30.6,2.2,6.4
2020,3,6,23.2,31.9,1.9,0
2020,3,7,24.6,32.6,2.7,0
2020,3,8,24.4,33.3,1.7,0
2020,3,9,24.6,35.1,1.1,0
2020,3,10,25,34.4,1,0.2
2020,3,11,25,34.4,1.9,0
2020,3,12,25.3,33.7,3.5,0
2020,3,13,24.4,34.6,2.7,0
2020,3,14,25.8,33.3,2.8,0.2
2020,3,15,25.7,33.8,3.5,0
2020,3,16,25.7,33.6,3.2,0
2020,3,17,24.5,32.4,3.2,0
2020,3,18,24.4,33.4,2.9,0
2020,3,19,24.5,32.4,2.4,0
2020,3,20,25,33.4,2.4,18.2
2020,3,21,24.2,33.9,2.4,8
2020,3,22,24.2,34,1.4,44.8
2020,3,23,24,30.5,1.2,4
2020,3,24,23.8,32.6,2.1,0
2020,3,25,24.2,33.7,1.7,0
2020,3,26,25.3,33.5,2.4,0
2020,3,27,24.4,34.8,2.5,0
2020,3,28,24.5,34.3,2.2,0
2020,3,29,25.8,33.7,3.1,0
2020,3,30,25,34.4,2.1,0
2020,3,31,25.3,34.9,2.5,0
2020,4,1,24,35.8,1.4,0
2020,4,2,26.1,35.9,2,0
2020,4,3,25.6,32.5,1.4,2.8
2020,4,4,24.9,33.8,1.7,18.6
2020,4,5,25,34.3,1.1,15
2020,4,6,24.8,31.4,1.3,3.4
2020,4,7,23.8,31.8,1.4,1.2
2020,4,8,24.5,33.9,1.3,7.6
2020,4,9,24.7,34.1,2.1,0
2020,4,10,23,34.5,1.9,0
2020,4,11,25.5,34.9,1.9,0
2020,4,12,25.5,35.5,2,40.2
2020,4,13,24,33.3,2.3,0.4
2020,4,14,25.9,33.4,2.7,0
2020,4,15,25,34.2,2.2,0
2020,4,16,25,34.4,2.4,0
2020,4,17,24.1,34.5,1.9,0
2020,4,18,24.9,34.9,2.3,0
2020,4,19,25.3,34.9,1.8,0
2020,4,20,25.8,34.8,2.1,0
2020,4,21,24.9,35.6,1.2,30.2
2020,4,22,25.1,34,1.3,3
2020,4,23,24.4,33.3,1.2,0.2
2020,4,24,23.8,32.6,1.4,1.8
2020,4,25,24.4,34.3,1.4,43.4
2020,4,26,23.8,32.6,1.3,37.8
2020,4,27,24,30.6,1.2,7
2020,4,28,23.9,29.6,1.6,0
2020,4,29,24.3,33,1.6,0
2020,4,30,24.9,32.2,1,68.2
2020,5,1,24.1,31.8,0.8,46
2020,5,2,24.8,32.1,1.3,0.8
2020,5,3,24.8,32.1,1.3,0
2020,5,4,25.4,32.3,1.7,0.4
2020,5,5,24.6,34.8,1.1,15.6
2020,5,6,25,31.5,0.7,0
2020,5,7,25.4,33.8,0.8,9.4
2020,5,8,24.5,32.6,1.1,0.4
2020,5,9,25.7,33.3,1.4,0.2
2020,5,10,23.9,35,1.7,111
2020,5,11,24.6,33.1,1.5,0
2020,5,12,24.9,35.2,1.3,113.2
2020,5,13,23.6,29.6,1.2,0
2020,5,14,23.8,34.7,0.9,0.4
2020,5,15,24.5,33.8,1.1,0
2020,5,16,26.1,35.1,1.1,6.4
2020,5,17,24.8,31.8,1.2,40.2
2020,5,18,24.9,32.6,1.1,0
2020,5,19,25.8,33.3,1,2.2
2020,5,20,24.3,33.4,1,0
2020,5,21,25,34.4,1,8.6
2020,5,22,25,32.6,1.1,0
2020,5,23,25.2,26.7,0.8,5.2
2020,5,24,24.4,32,1,0
2020,5,25,24.9,33.7,1,0
2020,5,26,25.3,34,1,0
