year,month,day,doy,tmin,tmax,wind,rain
2020,1,1,1,23.46587990018861,30.862033621078186,2.4982176459954712,0.0
2020,1,2,2,23.258784627008968,30.309159008057495,3.62957799624754,0.0
2020,1,3,3,23.867109319699725,29.579515276878706,3.5177364382446066,26.116364808306418
2020,1,4,4,24.49328857147593,30.748547670234036,3.049516630842344,0.0
2020,1,5,5,22.937141183830228,30.6448375945954,3.8772226810395773,0.0
2020,1,6,6,24.816837762606998,31.88164324559489,3.9025008508202643,0.0
2020,1,7,7,23.26608840623776,31.81667862180647,3.5158884194450692,0.0
2020,1,8,8,24.679080192500376,33.239393984028794,3.309430770421869,0.0
2020,1,9,9,24.42883908078946,32.81076698164837,2.806188629084494,0.0
2020,1,10,10,24.896737944214987,31.62319146437479,2.358174361985792,6.6976683614867385
2020,1,11,11,23.850571871254026,30.38264162506092,2.663282777195015,62.79989898357006
2020,1,12,12,23.989362224347474,30.651460009021726,2.796804295004378,0.0
2020,1,13,13,24.5713040886361,31.615655263164374,2.931193303542164,0.0
2020,1,14,14,24.688016849073556,31.753567822366826,2.0128055064254706,0.0
2020,1,15,15,23.81432467140543,31.738265013321435,3.0640595250373543,0.0
2020,1,16,16,24.484568256497734,30.4143339862792,3.0272786203555992,0.0
2020,1,17,17,24.214722136493826,30.872330363738453,3.6002381030851254,12.52052213977779
2020,1,18,18,24.262322657415066,30.37197316113098,4.1749229068564375,0.0
2020,1,19,19,22.73731646646526,31.093843701984262,2.828303426010805,0.0
2020,1,20,20,23.522399308075716,31.6569688686952,3.3428589194484415,0.0
2020,1,21,21,24.965287913816585,32.651819484793236,3.582977056050902,0.0
2020,1,22,22,24.433417327285223,31.85845282470875,2.016180544820856,43.22798217867691
2020,1,23,23,24.654896412647865,32.9959974328406,2.6749044053381406,27.901720116725333
2020,1,24,24,24.128767993031975,32.29057302874539,3.6338575863228066,10.499188187756145
2020,1,25,25,23.089749737889633,32.17586071155003,3.841500869965598,25.807304999085254
2020,1,26,26,23.89181353511885,31.28682117608918,3.7919566719142757,47.05047266316657
2020,1,27,27,24.51824408450725,29.980760701895314,3.695867893256855,0.0
2020,1,28,28,24.690480037803898,30.271997602998983,3.1846102551647832,0.0
2020,1,29,29,24.942671564601646,30.867394206607663,4.2688038880881845,0.0
2020,1,30,30,23.94089757885375,31.566161318334927,3.9372604651088303,0.20467517146119485
2020,1,31,31,24.271124047500237,31.270009412800725,3.5685959967965992,0.0
2020,2,1,32,25.259279959819207,32.20198729706563,3.8218127677347833,8.766782135727402
2020,2,2,33,24.705483901880054,26.634976307216036,3.4663932801013915,0.07555471594790475
2020,2,3,34,23.859124457985153,30.554060749095104,3.9051960445422744,0.0
2020,2,4,35,23.982938138332766,31.891964066919563,3.6617638380696698,4.734566225088996
2020,2,5,36,24.14657652078342,31.608298413183,3.2126133388335463,16.008100181278337
2020,2,6,37,23.55091120020815,31.008831131151965,3.12646893081774,0.0
2020,2,7,38,24.766990224837443,29.344049692957867,4.641165986311364,26.096421985628847
2020,2,8,39,24.49738502639522,31.535697105673872,4.6828763649755505,0.8651653562671957
2020,2,9,40,24.83706165110325,27.699814698352796,4.914415326914394,1.475918369990177
