6.1248
year,month,day,tmin,tmax,wind,rain
# Kota Bharu, Kelantan; 6.1248, 102.2544; 2016-2020
2016,1,1,26.6,30.5,2.8611134,4.06
2016,1,2,25,30.4,2.9444468,0
2016,1,3,24,29.9,3.0000024,0
2016,1,4,25.1,30.6,3.0000024,0
2016,1,5,24.8,30.9,2.7222244,0
2016,1,6,25.2,31.4,2.916669,0
2016,1,7,24.2,31.1,2.9444468,0
2016,1,8,23.9,30.8,3.0000024,0
2016,1,9,24.1,31.1,2.6944466,0
2016,1,10,24.1,31.9,3.1388914,0
2016,1,11,24.7,31.7,3.0000024,0
2016,1,12,23.5,31.2,3.0000024,0
2016,1,13,23.7,31.7,2.8055578,0
2016,1,14,24.4,30.7,2.4722242,7.11
2016,1,15,24.5,30.4,2.916669,46.48
2016,1,16,25.3,30.7,2.7222244,2.29
2016,1,17,25.2,31.5,2.8611134,0.51
2016,1,18,25.2,31.8,3.0000024,0
2016,1,19,25.2,31.4,2.77778,0
2016,1,20,24.3,31.2,2.8611134,0
2016,1,21,25.5,31.1,2.7222244,0
2016,1,22,24.4,30.5,2.8055578,20.57
2016,1,23,24,30.9,2.9444468,0.51
2016,1,24,25.4,31.4,2.8611134,0
2016,1,25,26.7,30.9,2.5833354,1.27
2016,1,26,24.4,30.3,2.3333352,6.1
2016,1,27,26.3,33.4,2.7222244,1.78
2016,1,28,27.1,30.9,2.77778,3.05
2016,1,29,24.6,30.8,2.9444468,0
2016,1,30,24.3,31.5,2.8055578,0
2016,1,31,25.3,30.8,3.3055582,0
2016,2,1,24,31.1,3.0000024,0
2016,2,2,24.2,31.2,2.77778,0
2016,2,3,25.7,31.2,2.5833354,3.3
2016,2,4,24.7,30.8,2.77778,25.65
2016,2,5,25.2,29.8,2.3333352,5.08
2016,2,6,25.8,30.1,2.77778,7.37
2016,2,7,25.3,29.7,2.638891,1.78
2016,2,8,24.4,28.7,3.0000024,2.54
2016,2,9,25.4,29.5,2.5833354,0
2016,2,10,25.2,29.9,2.638891,0
2016,2,11,25.9,31.1,3.2222248,0
2016,2,12,26.2,30.8,3.0833358,0
2016,2,13,25.8,30.9,2.8611134,0
2016,2,14,25.1,31,3.0277802,1.52
2016,2,15,25.7,31.2,3.1388914,0
2016,2,16,26.1,31,3.1388914,0
2016,2,17,24,30.8,3.0833358,0
2016,2,18,26.2,31.4,2.8611134,0
2016,2,19,26.3,30.8,2.9444468,0.25
2016,2,20,23.7,30.5,2.7222244,0
2016,2,21,22.6,30.5,2.9444468,0
2016,2,22,21.9,30.6,3.0277802,0
2016,2,23,22.7,30.8,2.9444468,0
2016,2,24,24,30.8,3.1388914,0
2016,2,25,26.5,31.3,3.0000024,0
2016,2,26,23.8,31.2,2.4166686,0
2016,2,27,23.3,30.8,3.0277802,46.74
2016,2,28,26.3,30.8,2.8055578,0
