5.3296
year,month,day,tmin,tmax,wind,rain
# Kuala Terengganu, Terengganu; 5.3296, 103.1370; 2020-2024
2020,1,1,25.2,30.7,4.6944482,0
2020,1,2,26.4,30.1,4.4166702,3.81
2020,1,3,26.8,30.6,4.722226,0
2020,1,4,26.4,30.4,3.5555584,0
2020,1,5,26.3,30.6,3.2500026,1.02
2020,1,6,25.5,30.7,2.7222244,0
2020,1,7,24,29.9,3.194447,0
2020,1,8,26.7,30.9,3.3055582,0
2020,1,9,26.6,31.1,2.4166686,0
2020,1,10,25.1,30.8,1.6944458,0
2020,1,11,23.4,30.2,1.6944458,0
2020,1,12,23.3,30.1,1.3333344,0
2020,1,13,24,30.5,2.361113,0
2020,1,14,24.2,30.8,2.0555572,0
2020,1,15,24,30.7,2.0000016,0
2020,1,16,23.1,31.1,2.222224,0
2020,1,17,23.8,29.1,1.6388902,0
2020,1,18,25,30.5,2.8333356,20.83
2020,1,19,26.5,30.5,3.0277802,2.29
2020,1,20,26.2,30.5,3.2500026,0
2020,1,21,26.8,30.4,2.9444468,0
2020,1,22,25.9,31.2,2.77778,0
2020,1,23,26.3,30.7,2.0555572,0
2020,1,24,23.3,30.7,1.6944458,0
2020,1,25,22,31.1,1.5833346,0
2020,1,26,23.3,30.6,1.1944454,0
2020,1,27,25.1,29.5,1.6944458,0
2020,1,28,24.5,31.3,1.6944458,0
2020,1,29,25.5,29.4,1.5555568,0
2020,1,30,23.1,30.7,2.0555572,0
2020,1,31,24.7,29.1,3.2500026,3.3
2020,2,1,27.1,30.3,3.4444472,5.84
2020,2,2,26.4,30.7,2.6666688,0
2020,2,3,23.3,30.3,1.5833346,0
2020,2,4,22.2,31.7,1.805557,0
2020,2,5,23.2,30.5,1.9166682,0
2020,2,6,24.4,30.8,2.6666688,4.83
2020,2,7,23.9,30.5,1.9166682,0
2020,2,8,22.7,30.7,2.4722242,0
2020,2,9,25.3,29.7,5.55556,0.25
2020,2,10,25.2,28.4,4.4722258,9.65
2020,2,11,26.4,30,3.5555584,13.72
2020,2,12,26.5,30.5,2.77778,0.51
2020,2,13,26.8,31.2,1.8611126,0
2020,2,14,25.8,31,1.4444456,0
2020,2,15,24.1,31,1.4444456,0
2020,2,16,23.3,30.9,1.944446,0
2020,2,17,23,31.2,2.1666684,0
2020,2,18,24.4,30.8,3.611114,18.29
2020,2,19,26.4,31.1,3.194447,1.27
2020,2,20,25.9,31,3.611114,0
2020,2,21,25.7,30.8,4.8888928,0.76
2020,2,22,24.4,30.7,4.3611146,11.68
2020,2,23,26.2,29.9,5.2500042,6.1
2020,2,24,26.4,30.4,2.9722246,0.25
2020,2,25,24.7,30.7,2.361113,0.51
2020,2,26,24.7,31.1,2.4166686,0
2020,2,27,25.4,31.1,1.8611126,0
2020,2,28,24.7,31,2.0555572,0
2020,2,29,23.6,31.1,1.6388902,0
2020,3,1,23,30.7,1.38889,0
2020,3,2,23,31.3,2.1666684,0
2020,3,3,24.2,31.3,1.944446,0
2020,3,4,24.9,31.5,2.1111128,0
2020,3,5,26.8,31.6,1.7500014,0
2020,3,6,25.2,31.3,2.222224,4.06
2020,3,7,26.3,31.2,2.3055574,4.06
2020,3,8,23.9,31.7,1.944446,0
2020,3,9,23.9,31.9,1.5833346,0
2020,3,10,24.7,32.2,1.6944458,0
2020,3,11,24.3,32.1,1.8611126,0
2020,3,12,25,32.3,1.8611126,0
2020,3,13,25.2,32.1,1.5000012,0
2020,3,14,25.5,32.5,1.6388902,0
2020,3,15,26.7,32.8,3.0277802,0
2020,3,16,27.8,32.5,1.8611126,0
2020,3,17,24.8,31.8,1.9166682,1.52
2020,3,18,24.8,32.1,1.805557,2.29
2020,3,19,22.7,31.3,1.5833346,0
2020,3,20,22,31.5,1.805557,0
2020,3,21,24.4,32.3,2.3055574,0
2020,3,22,24.9,32.4,1.8611126,1.78
2020,3,23,25.4,29.3,1.6388902,32.51
2020,3,24,24,31.7,1.805557,0.51
2020,3,25,25.3,32.1,1.6388902,0
2020,3,26,24.6,32.4,1.7500014,0
2020,3,27,25.2,32.5,1.7500014,0
2020,3,28,24.9,32.3,1.6388902,0
2020,3,29,25.1,32.1,1.5833346,0
2020,3,30,23.9,33,2.0555572,0
2020,3,31,24.5,32.5,1.805557,0
2020,4,1,25.6,32.9,2.0000016,0
2020,4,2,25.3,32.3,1.9166682,4.57
2020,4,3,25.4,32.8,1.6388902,0.25
2020,4,4,26.2,32.6,1.805557,0
2020,4,5,25.1,28.4,1.2222232,37.85
2020,4,6,24.7,32.4,1.6388902,60.71
2020,4,7,25.1,32.5,1.4444456,0
2020,4,8,25.6,32.7,1.805557,0
2020,4,9,25,32.3,1.38889,0
2020,4,10,24.9,32.2,1.6944458,0
2020,4,11,23.8,32.2,1.8611126,0
2020,4,12,26,33.3,1.805557,0
2020,4,13,27,33.1,1.805557,0
2020,4,14,25.1,33.2,1.8611126,0
2020,4,15,25.7,33,1.5833346,0
2020,4,16,25.6,32.6,1.944446,0
2020,4,17,25.4,33,1.8611126,0
2020,4,18,24.8,33,1.9166682,0
2020,4,19,25.5,33.4,1.805557,0
2020,4,20,26.9,33.3,1.6388902,0
2020,4,21,27.3,33.5,1.5555568,0
2020,4,22,26.8,34,1.8611126,0
2020,4,23,25,29.8,1.2777788,11.68
2020,4,24,25,33,1.944446,2.03
2020,4,25,24.4,32.8,1.8611126,9.91
2020,4,26,24.6,28.2,1.2777788,135.13
2020,4,27,25,28.5,1.805557,26.92
2020,4,28,24.6,27.2,1.8611126,38.1
2020,4,29,24.4,29.6,1.9166682,63.5
2020,4,30,24.9,30.1,1.4444456,0
2020,5,1,25.2,31.7,1.5000012,7.11
2020,5,2,25.4,32.4,1.5833346,12.19
2020,5,3,26.1,32.6,1.7500014,0
2020,5,4,25.2,32.8,2.0555572,0
2020,5,5,25.4,33.3,2.1111128,0
2020,5,6,26.1,33.2,1.7500014,0
2020,5,7,26.4,32.9,2.0000016,0.25
2020,5,8,26.3,33.6,1.944446,0
