3.7634
year,month,day,tmin,tmax,wind,rain
# Kuantan, Pahang; 3.7634, 103.2202; 2016-2020
2016,1,1,23.7,30.8,2.778,74.42
2016,1,2,23.9,31.7,2.111,5.33
2016,1,3,24.5,32.2,2,0
2016,1,4,24.3,32.3,1.917,0
2016,1,5,24.3,31.7,1.917,0
2016,1,6,24.6,33.2,2.167,0
2016,1,7,24,32.4,2.25,0
2016,1,8,23.6,32.3,2.222,0
2016,1,9,23.9,32.6,2.472,0
2016,1,10,24.9,32.8,1.917,0
2016,1,11,23.4,33.5,1.861,0
2016,1,12,24.1,32.6,2,0
2016,1,13,23.8,32.1,1.75,0
2016,1,14,23.9,32.8,1.861,1.52
2016,1,15,24.9,32.3,0.778,0.51
2016,1,16,24.1,32.3,0.972,3.81
2016,1,17,24.8,32.4,1.083,1.52
2016,1,18,24,33.4,1.389,1.27
2016,1,19,24.6,33,2,0
2016,1,20,24.1,32.4,2.111,0
2016,1,21,24.2,31,1.694,0
2016,1,22,24.2,27.3,1.556,20.83
2016,1,23,23.5,32.1,1.944,11.18
2016,1,24,24,32.7,2.611,1.02
2016,1,25,24.2,31.2,2.889,26.42
2016,1,26,24.2,31.4,2.472,15.49
2016,1,27,25,32.2,2.167,9.14
2016,1,28,24.7,32.8,2,4.83
2016,1,29,24.6,32.7,2.361,0
2016,1,30,23.6,33,1.861,0
2016,1,31,23.9,32.5,2.056,0
2016,2,1,23.9,33.1,2.306,0
2016,2,2,23.7,33.3,2.472,0
2016,2,3,24.1,32.1,2.417,18.29
2016,2,4,24,29.7,2.167,6.6
2016,2,5,25.2,28.4,1.694,52.58
2016,2,6,24.9,30.3,2.472,29.21
2016,2,7,23.9,29.5,3.25,13.72
2016,2,8,23.5,28.7,2.611,2.54
2016,2,9,22.6,29.7,2.25,0
2016,2,10,24.1,29.4,1.917,0
2016,2,11,24,31.7,2.111,1.27
2016,2,12,25,32.2,1.806,0
2016,2,13,25.1,31,1.556,0.51
2016,2,14,24.9,31.3,1.75,0.76
2016,2,15,24.8,32.1,2.111,0
2016,2,16,24.1,31.2,2.611,2.03
2016,2,17,22.8,31.5,2.972,0.25
2016,2,18,23.5,31.7,2.417,3.05
2016,2,19,24.6,30.3,2.167,4.32
2016,2,20,23.4,31.6,2.583,2.54
2016,2,21,22.4,31.3,2.472,0
2016,2,22,21.8,31.7,2.111,0
2016,2,23,22.8,32.3,2.306,0
2016,2,24,23.8,31.7,2.472,0
2016,2,25,23.4,32.2,3.083,0
2016,2,26,23.6,32.1,2.833,0
2016,2,27,24,32.1,2.778,5.08
2016,2,28,24.2,30.5,2.25,1.02
2016,2,29,24,31.8,2.722,6.35
2016,3,1,23.5,32,2.417,0
2016,3,2,23.4,32,2.722,0
2016,3,3,23.3,32,2.528,0
2016,3,4,24.2,32.8,2.361,0
2016,3,5,24.6,30.3,1.694,3.05
2016,3,6,24.5,33,2.111,0
2016,3,7,24.1,32.8,2.167,0
2016,3,8,24.6,33.6,1.806,0
2016,3,9,23.6,33.7,2,0
2016,3,10,24.5,33.7,1.694,0
2016,3,11,24.3,32.1,1.806,0
2016,3,12,23.9,31.5,1.75,0
2016,3,13,24.5,32.5,1.944,0
2016,3,14,25.4,33.5,1.917,0
2016,3,15,23.8,33.7,2.222,0
2016,3,16,21.8,32.9,1.639,0
2016,3,17,23.2,33.5,2,0
2016,3,18,22.8,33.1,1.944,0
2016,3,19,24.7,33.2,1.944,0
2016,3,20,25.7,33.8,2.056,0
2016,3,21,26.6,33.1,1.639,0
2016,3,22,26.1,33.7,1.583,0
2016,3,23,25.4,33.5,1.194,0
2016,3,24,24.6,33.3,1.861,0
2016,3,25,23.6,34.2,2.111,0
2016,3,26,24.8,33.9,2.583,0
2016,3,27,24.8,33.6,2.361,2.29
2016,3,28,24.3,31.1,2,14.99
2016,3,29,24.5,32.6,2.361,22.1
2016,3,30,24,33.5,2.167,0
2016,3,31,23.4,33,2.167,0
2016,4,1,23.4,33.8,2.056,0
2016,4,2,24.1,33.9,1.917,0
2016,4,3,24.5,33.5,1.806,0
2016,4,4,25.3,34,1.944,1.27
2016,4,5,25.3,32.8,1.444,0
2016,4,6,24.3,33.5,1.639,0
2016,4,7,22.9,34.2,1.556,0
2016,4,8,23.8,34.2,1.639,0
2016,4,9,24.4,34.5,2.056,0
2016,4,10,25.3,34.9,1.75,0
2016,4,11,26.9,35.1,1.639,0
2016,4,12,26.1,35.1,1.389,2.29
2016,4,13,25.2,34.8,1.694,0
2016,4,14,24.6,35.1,1.389,16
2016,4,15,25.1,31.6,0.972,8.89
2016,4,16,25.6,34.9,1.278,0.51
2016,4,17,26,34.7,1.222,0
2016,4,18,25.4,34,1.5,0
2016,4,19,24.9,35.2,1.806,0.25
