1.5535
year,month,day,tmin,tmax,wind,rain
# Kuching, Sarawak; 1.5535, 110.3593; 2020-2024
2020,1,1,23.5,30.6,1.2777788,55.88
2020,1,2,24.8,30.8,2.0555572,23.62
2020,1,3,24.6,29.2,1.6388902,15.24
2020,1,4,25.1,29.2,1.9166682,44.96
2020,1,5,24.3,28.6,1.4444456,21.59
2020,1,6,23.8,32.2,1.38889,42.93
2020,1,7,23.4,29.4,1.1388898,0.51
2020,1,8,24.5,31.1,2.4166686,2.03
2020,1,9,25.4,31.5,2.4722242,4.32
2020,1,10,24.1,27.3,1.1944454,1.52
2020,1,11,23.1,28.6,1.805557,116.84
2020,1,12,24.5,31.4,1.38889,2.03
2020,1,13,24,32,1.9166682,7.11
2020,1,14,24.7,31.8,2.1111128,0
2020,1,15,23.9,31.6,1.7500014,0
2020,1,16,24,29,1.0833342,0.25
2020,1,17,24.6,31.9,1.38889,8.89
2020,1,18,24.7,29.6,1.6944458,9.4
2020,1,19,24.3,27.9,1.6944458,28.45
2020,1,20,23.9,28.2,1.38889,37.08
2020,1,21,23.8,32.4,1.944446,2.54
2020,1,22,25.3,31.5,1.944446,18.03
2020,1,23,24.8,31.6,2.6111132,11.18
2020,1,24,25.4,29.1,1.6388902,0
2020,1,25,24.6,33,1.805557,0
2020,1,26,25.4,29.9,1.6944458,0
2020,1,27,25,31.6,1.6388902,0
2020,1,28,25.2,31.4,1.2222232,6.86
2020,1,29,24.4,29.2,1.2777788,12.7
2020,1,30,24.4,27.6,1.2222232,30.73
2020,1,31,23.7,31.1,1.8611126,28.19
2020,2,1,22.4,31.4,2.5833354,0
2020,2,2,24.4,31.2,2.2500018,1.52
2020,2,3,24.3,30.7,1.805557,0.51
2020,2,4,24,29,1.6944458,20.57
2020,2,5,23.4,27.1,1.6944458,1.78
2020,2,6,23.2,29.9,2.0555572,65.02
2020,2,7,24.2,30.8,1.805557,3.3
2020,2,8,23.1,31.3,1.6388902,0
2020,2,9,24.5,32.5,1.8611126,0
2020,2,10,23.8,32.1,1.5000012,16.51
2020,2,11,23.6,32.3,1.6944458,1.02
2020,2,12,24.4,30.2,1.1388898,0.51
2020,2,13,24.7,30.3,1.8611126,35.56
2020,2,14,23.7,32.6,1.7500014,3.56
2020,2,15,24.9,31.9,1.4444456,0
2020,2,16,23.7,34.1,2.0555572,17.53
2020,2,17,23.3,27.8,1.1388898,5.08
2020,2,18,22.8,31.7,1.5833346,10.67
2020,2,19,24.1,31.1,2.5833354,0
2020,2,20,24.4,30.9,2.9444468,7.37
2020,2,21,25.3,30.8,2.5833354,3.56
2020,2,22,24.5,28.8,1.5555568,15.49
2020,2,23,23.6,28.5,1.7500014,152.91
2020,2,24,24.7,29.4,2.3055574,20.07
2020,2,25,24.3,30.6,1.9166682,17.53
2020,2,26,23.7,26.7,0.8611118,8.38
2020,2,27,24.6,30.7,2.361113,90.17
2020,2,28,24.3,28.1,1.5833346,10.92
2020,2,29,24.8,31.4,1.805557,6.1
2020,3,1,25.2,31.2,2.0555572,0
2020,3,2,24.3,32.2,2.1111128,0.51
2020,3,3,24.2,27.2,1.0277786,0
2020,3,4,23.9,32.4,1.805557,87.63
2020,3,5,23.7,30.6,1.1944454,27.43
2020,3,6,23.8,31.3,1.5555568,1.02
2020,3,7,24.4,32.3,1.5555568,0
2020,3,8,23.8,32.8,1.6944458,0
2020,3,9,24.9,33.3,1.5833346,0
2020,3,10,24.4,34.1,1.4444456,0
2020,3,11,24.3,33.4,1.6944458,0
2020,3,12,26.3,32.3,1.8611126,0.51
2020,3,13,25.1,33,1.7500014,1.52
2020,3,14,24.3,34.3,1.1388898,8.38
2020,3,15,24.8,32.7,3.1388914,0
2020,3,16,24.7,31.5,1.7500014,2.29
2020,3,17,25,30.7,1.8611126,78.23
2020,3,18,24.7,30.5,1.3333344,34.04
2020,3,19,24.6,31.5,1.7500014,32.51
2020,3,20,23.7,29,1.2222232,6.1
2020,3,21,22.9,32.7,1.1944454,4.06
2020,3,22,24.6,31.5,1.38889,0
2020,3,23,23.8,32.6,1.38889,1.27
2020,3,24,24.8,32.5,1.6944458,0
2020,3,25,24.5,34.1,1.6388902,0
2020,3,26,23.5,26,1.0833342,25.65
2020,3,27,22.6,33.1,1.6944458,33.27
2020,3,28,24.9,32.7,1.6944458,0
2020,3,29,23.9,32.2,1.2777788,0
2020,3,30,24.3,32.7,0.972223,22.1
2020,3,31,25,33.6,1.5000012,23.62
2020,4,1,25.4,34.7,1.4444456,0
2020,4,2,25.6,33,1.6388902,0
2020,4,3,25,33.4,1.5833346,0
2020,4,4,25.2,33.9,1.5555568,9.4
2020,4,5,24.7,31.2,1.1388898,1.78
2020,4,6,24.4,31.6,1.1944454,8.89
2020,4,7,23.8,31.8,1.7500014,20.07
2020,4,8,23.7,33.3,1.38889,0
2020,4,9,24.9,32.6,1.6388902,0
2020,4,10,24.9,32.7,1.38889,4.57
2020,4,11,24.7,30,0.8611118,21.84
2020,4,12,23.4,32.7,1.6944458,0
2020,4,13,24.1,33.1,1.9166682,0
2020,4,14,23.3,33.8,1.6944458,0
2020,4,15,25.1,33.2,1.944446,0
2020,4,16,25.2,32.6,1.2222232,0
2020,4,17,24.5,32.6,2.1111128,3.81
2020,4,18,22.9,30.2,1.4444456,56.13
2020,4,19,23.3,33.1,1.4444456,13.72
2020,4,20,25.1,33.4,1.7500014,0
2020,4,21,24.6,31.2,1.5833346,0
2020,4,22,24.2,35,1.6944458,5.08
2020,4,23,24.7,32.2,1.2222232,0.51
2020,4,24,23.6,32.8,1.2777788,43.69
2020,4,25,23.9,33.5,1.38889,84.58
2020,4,26,24.5,32.8,1.8611126,21.34
2020,4,27,24,33.7,2.361113,16.51
2020,4,28,24.5,30.9,2.1111128,3.56
2020,4,29,24.1,33.8,1.5000012,0
2020,4,30,24.8,32.7,1.2222232,0
2020,5,1,24.1,34,1.3333344,0
2020,5,2,24.2,32.4,1.5833346,60.96
2020,5,3,23.9,33.9,1.4444456,12.45
2020,5,4,24,35.3,1.6944458,15.49
2020,5,5,23.7,33.9,1.5555568,17.02
2020,5,6,24.6,35.2,1.5000012,12.7
2020,5,7,24.3,34.6,1.1944454,0
2020,5,8,25.4,31,1.2777788,0
2020,5,9,24.5,34.7,1.2777788,31.75
2020,5,10,24.3,34.5,1.4444456,0
2020,5,11,24.5,34.5,1.5555568,0
2020,5,12,24.5,32.4,1.2222232,20.32
2020,5,13,23.9,33.8,1.5000012,20.07
2020,5,14,24.4,32.3,1.1388898,3.81
2020,5,15,24.8,34.5,1.2222232,0
2020,5,16,25.7,32.4,1.5000012,3.3
2020,5,17,23.1,32.5,2.361113,0
2020,5,18,23.8,31.5,0.972223,62.48
2020,5,19,25.1,33.7,1.2777788,0
2020,5,20,25.1,35,1.5833346,0
2020,5,21,24.5,33.8,1.805557,2.03
2020,5,22,25.1,30.7,0.8611118,0.25
2020,5,23,25.7,34.8,1.8611126,0
2020,5,24,24.9,34.3,1.4444456,0
2020,5,25,26.2,34.4,1.2222232,0
2020,5,26,26,33.7,1.944446,1.02
2020,5,27,23.5,32,2.4166686,5.33
2020,5,28,23.4,33.3,1.1944454,16.26
2020,5,29,25.6,34.3,2.0555572,0
2020,5,30,25.1,33,1.1944454,0.76
2020,5,31,25.2,30.8,1.1388898,0
2020,6,1,24.2,30,1.2222232,18.8
2020,6,2,23.5,34,1.4444456,23.88
2020,6,3,23.8,34.2,1.2222232,21.34
2020,6,4,24.9,32.9,1.5000012,0
2020,6,5,24,26.6,1.3333344,3.3
2020,6,6,22.5,33,1.9166682,2.79
2020,6,7,23.6,33.3,1.6944458,1.27
2020,6,8,24.1,33.8,1.1388898,0
2020,6,9,23.9,33.8,1.4444456,21.59
2020,6,10,24,33.8,1.805557,0.76
2020,6,11,23.5,34.1,1.2777788,0
2020,6,12,22.9,35.6,1.805557,0.76
2020,6,13,23.2,34.2,2.0555572,0
2020,6,14,23.3,33.2,1.1388898,43.69
2020,6,15,24.3,33.4,1.8611126,0
2020,6,16,23.5,31.1,1.38889,20.57
2020,6,17,23.3,33.4,1.7500014,0.51
2020,6,18,23.7,31,1.805557,3.3
2020,6,19,24.4,32.8,1.944446,0
2020,6,20,23.8,33,1.5000012,9.91
2020,6,21,23.3,32.7,1.4444456,3.3
2020,6,22,24.3,32.2,1.6944458,0.51
2020,6,23,23.7,32.7,1.6944458,14.48
2020,6,24,23.5,31.7,1.5833346,23.37
2020,6,25,23.1,31.3,1.1388898,9.4
2020,6,26,23.2,31.3,1.6944458,0
2020,6,27,23.2,29.2,1.5000012,52.32
2020,6,28,24.1,32.7,2.1666684,0
2020,6,29,25.5,34,2.0555572,0
2020,6,30,24.1,29.3,0.7222228,7.11
2020,7,1,23.9,33.1,1.6388902,1.02
2020,7,2,23.7,31.5,1.5833346,0
2020,7,3,24,34.3,2.1111128,0
2020,7,4,23.8,32.9,1.805557,0.76
2020,7,5,23.8,30.9,1.1388898,6.86
2020,7,6,23.7,34.3,1.5000012,3.3
2020,7,7,24.8,30.4,0.833334,1.27
2020,7,8,23.9,31.8,2.1111128,5.08
2020,7,9,22.9,30,1.944446,21.34
2020,7,10,23.7,31.2,1.5555568,5.84
2020,7,11,24.1,32.8,1.2777788,0.76
2020,7,12,23.5,33.6,1.0833342,0
2020,7,13,24.3,33.3,1.38889,0
2020,7,14,23.3,28.1,1.805557,9.91
2020,7,15,23.5,31.5,1.2222232,1.52
2020,7,16,23.5,33.3,1.0833342,0
2020,7,17,24.7,34.7,2.1666684,0
2020,7,18,22.8,31.2,1.38889,37.85
2020,7,19,23.6,33.1,1.3333344,7.11
2020,7,20,24.1,33,1.2222232,0
2020,7,21,23.6,33.5,1.5555568,0
2020,7,22,23.9,28.2,1.7500014,0
2020,7,23,23.1,30.5,1.5555568,0.76
2020,7,24,23.3,32.6,1.4444456,5.08
2020,7,25,23.5,32.6,1.4444456,0.51
2020,7,26,24.3,31.7,1.38889,13.46
2020,7,27,24,32.9,1.5833346,8.89
2020,7,28,23.8,33,1.5555568,1.27
2020,7,29,23.5,31.4,1.2777788,5.08
2020,7,30,24.1,30.4,1.7500014,1.52
2020,7,31,23.9,33,1.6944458,0
2020,8,1,21.5,34.3,1.944446,0
2020,8,2,24.1,33.4,2.0000016,0
2020,8,3,23.6,33.4,1.6388902,6.86
2020,8,4,24.7,33.9,1.6388902,0
2020,8,5,22.7,27.7,1.5555568,17.02
2020,8,6,23.3,32.9,1.1388898,9.91
2020,8,7,24.2,35.5,1.4444456,0
2020,8,8,23.7,35.6,1.0833342,0
2020,8,9,25,35.7,1.3333344,0
2020,8,10,24.1,35.2,1.5555568,0.25
2020,8,11,23.6,34.2,1.4444456,0
2020,8,12,22.8,32.3,1.38889,12.19
2020,8,13,23.8,33.1,1.6388902,0
2020,8,14,23.5,31.4,1.7500014,44.2
2020,8,15,23.9,33.3,1.5555568,18.54
2020,8,16,23.1,33,1.1944454,2.29
2020,8,17,22.6,33.4,1.38889,12.7
2020,8,18,22.8,32.1,1.6388902,46.99
2020,8,19,23.1,30.6,1.805557,0.25
2020,8,20,23.9,32.8,1.3333344,0
2020,8,21,24.4,33.4,1.805557,0
2020,8,22,24.3,34.3,2.1111128,0
2020,8,23,23,32,1.5555568,36.32
2020,8,24,24.3,32,1.5555568,0.51
2020,8,25,24.7,33.4,1.9166682,0
2020,8,26,23.8,31.1,1.3333344,0.51
2020,8,27,23.8,32.1,1.5000012,2.03
2020,8,28,22.8,32.4,1.5555568,14.48
2020,8,29,23.5,32.2,1.3333344,0
2020,8,30,22.8,33,1.7500014,29.97
2020,8,31,24.3,30.3,1.0277786,0
2020,9,1,24.3,32.8,1.5833346,0
2020,9,2,23.6,30.7,1.0277786,0.76
2020,9,3,23.2,32.3,1.5555568,8.13
2020,9,4,23.9,32.9,1.5555568,2.79
2020,9,5,23.5,30,1.6944458,31.24
2020,9,6,23.8,31.8,1.1388898,0.51
2020,9,7,23.9,31.5,1.4444456,10.41
2020,9,8,24.1,31.6,1.5000012,0.51
2020,9,9,24,32.2,1.8611126,3.3
2020,9,10,24.6,30.4,1.3333344,0.51
2020,9,11,23.8,28.9,1.1944454,3.56
2020,9,12,23.8,30.7,1.1944454,2.03
2020,9,13,23.3,30.9,2.0000016,8.38
2020,9,14,23.6,27.7,0.8611118,30.48
2020,9,15,23.1,32.2,1.805557,6.1
2020,9,16,21.9,32.4,2.4166686,33.27
2020,9,17,21.9,33.8,1.944446,37.85
2020,9,18,23.6,35,1.805557,0.25
2020,9,19,24.1,30.5,1.0833342,0
2020,9,20,23.9,33.7,2.3055574,23.37
2020,9,21,23.5,31,1.5000012,26.92
2020,9,22,23.7,31.6,1.7500014,17.53
2020,9,23,23.6,33.7,1.6944458,16
2020,9,24,23.6,33,2.0000016,9.65
2020,9,25,23.5,28.9,1.0833342,8.89
2020,9,26,23.6,31.7,2.2500018,1.52
2020,9,27,22.8,30.2,1.7500014,29.72
2020,9,28,22.6,31.6,1.944446,21.08
2020,9,29,23.8,33.4,1.6944458,0
2020,9,30,23.3,33,1.5000012,45.21
2020,10,1,24,33.4,1.0277786,0
2020,10,2,23.8,33.7,1.9166682,2.03
2020,10,3,23.5,33.2,1.3333344,29.72
2020,10,4,23.6,28.1,1.3333344,23.11
2020,10,5,23.3,30.8,1.5000012,39.88
2020,10,6,24.2,33.6,1.5833346,0
2020,10,7,24.1,33.3,1.5555568,0.51
2020,10,8,23.7,33.7,1.944446,0
2020,10,9,23.3,31.6,1.7500014,11.43
2020,10,10,23.9,34.2,1.6388902,0.25
2020,10,11,23.9,33.2,2.0000016,5.59
2020,10,12,24.1,30,1.5000012,21.59
2020,10,13,24.5,33.9,1.4444456,0
2020,10,14,22.1,32.1,1.6944458,11.68
2020,10,15,23,33.2,1.4444456,79.76
2020,10,16,23.8,33.1,1.5000012,1.27
2020,10,17,23.9,33.7,2.0555572,0
2020,10,18,23.7,34.1,1.805557,27.69
2020,10,19,23,32.3,1.0277786,14.22
2020,10,20,24.8,34.1,1.5555568,0
2020,10,21,23.6,33.3,1.3333344,0
2020,10,22,23.5,32.9,1.5833346,3.3
2020,10,23,23.6,31.7,1.5000012,18.29
2020,10,24,23.2,32.9,1.4444456,4.83
2020,10,25,23.1,33.4,1.5833346,9.91
2020,10,26,23.4,32.5,2.1666684,13.72
2020,10,27,22.5,33.2,1.5000012,4.57
2020,10,28,23.6,33.9,1.805557,18.8
2020,10,29,23.6,31.5,1.38889,4.57
2020,10,30,24.2,31.6,1.5555568,0
2020,10,31,24.2,32.7,1.6944458,8.89
