1.84257
year,month,day,tmin,tmax,wind,rain
# Ladang Ulu Remis at Layang-Layang, Johor; 1.84257, 103.46922; 2015-2019
2015,1,1,22.8,28.6,1.1,0
2015,1,2,21.1,30.4,1.1,0
2015,1,3,22.5,31.1,1.4,0
2015,1,4,22,31.7,1,0
2015,1,5,21.9,32.3,0.9,0.3
2015,1,6,22.7,33.6,1.1,27.3
2015,1,7,22.6,31.9,0.8,3.9
2015,1,8,23,30.8,0.9,8.4
2015,1,9,22.9,25.7,1,0
2015,1,10,22.5,32,0.9,2.3
2015,1,11,23.1,31,0.9,1.8
2015,1,12,22.9,30.8,1.4,0
2015,1,13,21.7,31.8,1.3,0
2015,1,14,21.9,31.6,1.5,0.3
2015,1,15,22.4,31.6,1.8,0
2015,1,16,21.5,31.3,1.7,0
2015,1,17,21.3,31.8,1.5,0
2015,1,18,20.5,31.1,1.4,0
2015,1,19,21.4,31.2,1.3,0
2015,1,20,22.1,31.3,1.2,0
2015,1,21,22.3,31.3,1,0
2015,1,22,22.8,31.2,1.5,0
2015,1,23,21.1,31,1.3,0
2015,1,24,22.9,32,1.1,0
2015,1,25,22.1,31.9,1,0
2015,1,26,23,31.5,1.2,0
2015,1,27,21.6,32.7,1.3,0
2015,1,28,20.7,33.2,0.9,0
2015,1,29,22.7,29.2,0.9,0
2015,1,30,21.9,31.5,0.6,19.3
2015,1,31,21.6,32.3,1.3,0
2015,2,1,20.4,31.1,1.2,0
2015,2,2,21.5,29.1,0.9,5.5
2015,2,3,20.7,29.4,1.3,0
2015,2,4,21.6,27.8,1,0.9
2015,2,5,23.1,29.8,1.5,0
2015,2,6,22.6,30.4,1.4,0
2015,2,7,22.9,30.2,1.4,0
2015,2,8,20.8,30.5,1.3,0
2015,2,9,21.2,31.4,1.6,0.1
2015,2,10,21.8,31.5,1.9,0
2015,2,11,20.7,32.1,1.1,0
2015,2,12,20.3,31.8,1.3,0
2015,2,13,20.6,31.1,1.3,0
2015,2,14,20.9,32.2,1,0
2015,2,15,20.9,34.2,1.2,0
2015,2,16,21.9,34,1,0
2015,2,17,22,34,1.2,0
2015,2,18,21.1,34,1,0
2015,2,19,22.9,31.1,1.2,0.2
2015,2,20,23.2,33.4,1.1,0
2015,2,21,21.3,34,1,0
2015,2,22,21.5,32.7,1.1,0
2015,2,23,22.7,34.3,1.1,0
2015,2,24,23.2,31.8,0.9,0
2015,2,25,22.8,34.3,1,0
2015,2,26,22.5,33.7,0.8,0
2015,2,27,22.1,34.5,1.1,0
2015,2,28,22.2,35,1.1,0
2015,3,1,21.8,34.3,0.9,0
2015,3,2,21.5,34.6,0.9,0
2015,3,3,22.6,34.8,0.8,0
2015,3,4,23.8,35.3,0.9,0.3
2015,3,5,22.7,35.2,0.8,0
2015,3,6,21.5,33.5,0.7,0
2015,3,7,22.8,34.3,1.1,0
2015,3,8,22.6,35.1,0.7,35.7
2015,3,9,23,33.9,0.9,2.5
2015,3,10,22.3,32.9,0.9,2
2015,3,11,23.1,27.7,0.8,8.1
2015,3,12,21.9,31.7,1,0
2015,3,13,21.1,33.7,1,0
2015,3,14,21.7,33.2,1,0
2015,3,15,23.7,32.4,0.9,0
2015,3,16,23.9,34.2,0.9,13.5
2015,3,17,23.8,34.2,1,0
2015,3,18,23.2,34.6,0.9,0
2015,3,19,23.9,34.9,1,16
2015,3,20,23.9,34,0.8,0
2015,3,21,23.8,34.2,0.7,22.8
2015,3,22,23.9,32.7,0.7,51.3
2015,3,23,23.4,34,0.8,51.3
2015,3,24,23.7,31.8,1.1,0
2015,3,25,24.9,33.1,1.1,0.1
2015,3,26,24.1,33.6,1.1,0.2
2015,3,27,23.2,33.6,1.2,0
2015,3,28,23.2,31.3,0.9,0
2015,3,29,22.7,32.3,0.7,0.3
2015,3,30,23.4,33.8,0.8,0
2015,3,31,23,34.5,0.7,24
2015,4,1,22.9,34.5,0.7,49.6
2015,4,2,22.3,33.7,0.7,0
2015,4,3,22.3,32.7,0.7,14.4
2015,4,4,22.9,34.6,0.8,0.5
2015,4,5,23.8,32,0.6,5.2
2015,4,6,24,35.5,0.8,0.8
2015,4,7,23.5,34.1,0.9,0
2015,4,8,23.1,33.9,0.9,0.4
2015,4,9,23.3,33.1,0.9,0
2015,4,10,24,33.5,0.9,0
2015,4,11,22.7,34.5,0.6,7.7
2015,4,12,22.2,34.3,0.6,19.3
2015,4,13,22.8,33.6,0.7,0
2015,4,14,22.3,33.9,0.8,0
2015,4,15,22.5,33.5,0.7,0
2015,4,16,24.2,33.7,1,0
2015,4,17,23.6612248363293,34.8530328295493,0.920846171862856,15
2015,4,18,22.3,35,0.8,0
2015,4,19,23.7,33.6,0.9,2.5
2015,4,20,22.7,34.7,0.6,0
2015,4,21,23.1,35,0.7,7.7
2015,4,22,23,34.6,0.8,49
2015,4,23,23.1,33.7,0.6,29.8
2015,4,24,22.8,33,0.5,0
2015,4,25,23,32.9,0.8,20
2015,4,26,23.5,33.1,0.5,0
