4.80455260
year,month,day,tmin,tmax,wind,rain
# Lubok Merbau, Perak; 4.80455260, 100.89172160; 2017-2019
2017,1,1,22,30.7,1,0
2017,1,2,23.5,29.1,1.1,29.8
2017,1,3,23,31.9,0.8,1.6
2017,1,4,23.1,31.3,1.1,0
2017,1,5,23.5,32.6,1.1,0
2017,1,6,24.8,32.4,1.5,0
2017,1,7,25,31,1.4,16.6
2017,1,8,22.5,32.2,1.1,0
2017,1,9,22.7,33.6,1.2,0
2017,1,10,23.2,34.5,1.4,0
2017,1,11,23.4,33.1,1,0
2017,1,12,22,33.6,1.1,0
2017,1,13,22.2,31.5,1,0
2017,1,14,23.7,33.3,1.4,3.8
2017,1,15,23.4,32.8,1.4,13.8
2017,1,16,22.5,32.5,1.7,0
2017,1,17,23.4,32.8,1.4,4.2
2017,1,18,22.8,34.3,1.4,0.4
2017,1,19,23.2,32.3,1.3,8.8
2017,1,20,23,31.5,1.1,72.8
2017,1,21,23,28.8,1.2,3.2
2017,1,22,22.2,32.1,1,5.4
2017,1,23,23.1,30.7,1.1,95.8
2017,1,24,22.2,24.1,1.1,22.6
2017,1,25,22,29.6,1.4,1.6
2017,1,26,23.3,31.2,0.9,4.8
2017,1,27,23.1,30.7,1.6,0.6
2017,1,28,21.2,32.5,1.2,0
2017,1,29,21.5,33.2,1.2,0
2017,1,30,23.7,32.4,1.7,11.8
2017,1,31,23,31.7,1,3.2
2017,2,1,23,30.4,1,0.2
2017,2,2,23,31.4,1.3,0
2017,2,3,23,33,0.910059566609543,0
2017,2,4,22.9,33.6,1.11473504051506,0
2017,2,5,23,32.3,0.266493243626603,0
2017,2,6,22.5,33.8,1.54389686065582,0.2
2017,2,7,22.6,32.9,1.47822878154551,4.9
2017,2,8,23.3,33.1,1.00911299129676,0
2017,2,9,21.2,33.2,1.01511956303245,0
2017,2,10,20.6,32.7,1.19762711036659,0
2017,2,11,22.8,32.2,1.18319440765472,0
2017,2,12,21.8,33.6,1.39599605540019,0
2017,2,13,21.8,31.8,1.37913990802639,0
2017,2,14,23.9,31.6,1.41075638970971,0
2017,2,15,22.4,33.6,1.32738106248775,0
2017,2,16,22.5,33.9,1.30913120979722,0
2017,2,17,21.8,34.6,1.36415527145718,0
2017,2,18,22.1,35,1.35637723576146,0
2017,2,19,23.4,33.9,1.3066033784644,0
2017,2,20,25.4,35.2,1.24838048704584,1.2
2017,2,21,25.1,32.8,1.15415556697541,2
2017,2,22,22.8,32.4,0.2,0
2017,2,23,24.8,32,1.27972950963724,0
2017,2,24,23.6,33.1,1.23950938544158,34.1
2017,2,25,23.4,32.9,1.18137443738023,0
2017,2,26,23.6,34.4,1.399641683197,6.1
2017,2,27,23.6,31.4,0.613699137993835,2.2
2017,2,28,22.3,31.8,1.41563488349025,1.5
2017,3,1,23.2,31.8,0.971701270630406,0
2017,3,2,22.4,33.4,0.90865875561853,18.5
2017,3,3,22.8,33.6,0.751210717538996,19.5
2017,3,4,22.6,34.2,0.955032076329627,0
2017,3,5,23.6,31.4,1.0159661746986,8.4
2017,3,6,22.7,33.1,1.83253048549288,0
2017,3,7,23.8,32.4,0.828152580879766,0
2017,3,8,23.8,34.5,1.24462859303239,0
2017,3,9,24,34,1.06220919676293,0
2017,3,10,24.1,34.2,1.3249257435779,0
2017,3,11,24.5,34.8,0.635781749060324,0
2017,3,12,23.5,33.1,1.14559387508931,0.5
2017,3,13,22.6,34.2,1.3128548207155,0
2017,3,14,24.8,34.5,1.26471969438199,0
2017,3,15,23.6,34.2,0.972467063385023,2.8
2017,3,16,25.4,34.4,1.10572233676678,0
2017,3,17,22.7,34,1.22715303109817,1
2017,3,18,24,33.4,1.06644883080952,4
2017,3,19,23.6,33.4,1.5547172053675,1
2017,3,20,23.2,29.2,1.0245566465721,4.5
2017,3,21,23.2,34.1,1.25523414734933,1
2017,3,22,22.9,34,0.783539650805211,0
2017,3,23,22.9,34,1.89355494752861,0
2017,3,24,23,34,1.10246427963793,0
2017,3,25,23,34.5,1.25688632250733,5.7
2017,3,26,24.4,35,0.797497265121736,0
2017,3,27,23.2,33.5,1.40822714476021,34
2017,3,28,23,33.5,1.56754849721451,0
2017,3,29,23,33.8,1.19183118662784,23.1
2017,3,30,22.7,32.1,0.843580257678322,49.8
2017,3,31,23.3,31.9,1.36101070424056,5.1
2017,4,1,23.2,31.5,1.78320554442008,0.4
2017,4,2,23.1,32.3,1.08445333369518,21.8
2017,4,3,22.9,32.3,1.23680752800377,18.9
2017,4,4,22,32,1.03235167875753,34.4
2017,4,5,22.2,31.5,1.07572167923388,14.2
2017,4,6,22.7,32.2,0.819437789544959,0
2017,4,7,23.7,31.2,0.971648321004302,0.6
2017,4,8,23.3,33.5,0.762874393239013,0.8
2017,4,9,23.7,34.6,1.12099469817325,1.4
2017,4,10,23.4,32.4,0.905596244117418,46.6
2017,4,11,23.3,33.4,1.61475180924707,23.5
2017,4,12,24.6,33.3,0.738016087037171,15.8
2017,4,13,24,33.5,1.22071017739072,20.1
2017,4,14,22.3,33.5,1.52623190947116,25.9
2017,4,15,23.7,33.5,0.938105578873123,0
2017,4,16,22.8,33,0.766445398369087,30.3
2017,4,17,24.4,34.2,1.92147976951906,0
2017,4,18,24.2,34.6,0.977360703215185,2.7
2017,4,19,23.6,34.4,1.50867450520971,4.7
2017,4,20,23.2,34.3,0.96767876208243,3.6
2017,4,21,23.4,33,1.25849602450986,22.3
2017,4,22,24,33.5,0.639612090417685,0
2017,4,23,23.4,33.6,0.804244347569389,19.3
2017,4,24,23.9,33.2,0.781672561617897,0
2017,4,25,23.6,34.2,1.24785181673321,15.2
2017,4,26,24,32,1.65604727624855,26.7
2017,4,27,23.8,32.8,1.15203072296715,1.5
2017,4,28,24.1,32.6,0.66285706352463,10.4
2017,4,29,23.3,32.6,0.387580116908804,1.4
2017,4,30,24.1,33.6,1.55868275314918,0.2
2017,5,1,25.2,31.8,1.2,2
2017,5,2,24,33.2,1.3,1.2
2017,5,3,24.5,33.1,0.9,3
2017,5,4,24.5,33.4,1.3,9.6
2017,5,5,24.9,32.8,0.9,0
2017,5,6,24,33.4,1.5,8.2
2017,5,7,24,32.9,1.2,0
2017,5,8,24.5,34.1,1,1.6
2017,5,9,24.4,31.5,0.8,6.4
2017,5,10,23.7,30.6,0.6,0.6
2017,5,11,24.2,32.2,0.9,12.2
2017,5,12,23.4,34.3,1.4,0.01
2017,5,13,24.2,34.4,1.2,0
2017,5,14,25.7,34.4,1.1,0
2017,5,15,24.7,32.9,1.6,0
2017,5,16,25.2,32.7,1.4,0
2017,5,17,25.4,33.9,1.7,0
2017,5,18,25.1,33.1,1.9,1.2
2017,5,19,24.9,33.6,1.6,4.4
2017,5,20,24.4,31.9,1.1,0
2017,5,21,24.6,32.7,1.6,0
2017,5,22,25.8,32.8,1.1,20.6
2017,5,23,24.7,35.4,0.9,0.2
2017,5,24,24.8,33.5,1.2,0.6
2017,5,25,25.8,32.2,1.1,0
2017,5,26,25.6,34,1.3,0
2017,5,27,25.6,34,1.2,0
2017,5,28,26.2,35.4,0.8,8
2017,5,29,24.2,33.7,1.4,0.2
2017,5,30,25.6,34.1,0.9,1.2
2017,5,31,24.5,31.2,1,0
2017,6,1,22.4,34,0.8,0
2017,6,2,24.7,33.1,1.6,0
2017,6,3,24.6,34.8,1.4,0
2017,6,4,25,32.5,1.5,0
2017,6,5,23.3,32.9,1.3,0
2017,6,6,25.3,33.7,1.4,0
2017,6,7,24.5,35.1,1.1,0
2017,6,8,24.7,35.5,0.9,0
2017,6,9,24.1,35.8,1.1,0.8
2017,6,10,24.6,32.5,1.6,0.01
2017,6,11,23.7,35.3,1.1,4.6
2017,6,12,23.7,34.2,1.6,0.01
2017,6,13,25.5,34.2,1.6,0
2017,6,14,24.4,33.5,1.6,1
2017,6,15,22.9,35.9,1.4,2
2017,6,16,24.1,33.3,1.3,66.8
2017,6,17,24.1,31.9,1,1
2017,6,18,23.7,28.6,0.7,13.2
2017,6,19,22.4,34.1,0.9,0
2017,6,20,24.1,34.4,1.2,0
2017,6,21,23.8,34.6,0.9,8.8
2017,6,22,23.3,34,1,76.2
2017,6,23,22,32.7,0.8,0.01
2017,6,24,23.7,32.8,0.8,1
2017,6,25,23,33.8,1,0
2017,6,26,22.9,33.3,1,0
2017,6,27,23.7,33.5,0.8,0.8
2017,6,28,23.5,33.1,1,0.2
2017,6,29,23.7,31.8,1.1,1.4
2017,6,30,23.6,33.8,1.3,0
2017,7,1,23.4,32.4,1,20.2
2017,7,2,23.2,32.9,1.3,4.2
2017,7,3,23.8,32.8,0.9,2.2
2017,7,4,23.6,32.9,1,10.6
2017,7,5,23.7,33.5,1,0
2017,7,6,24.1,33.3,1.5,0
2017,7,7,23.7,30.9,1.3,0
2017,7,8,24.5,31.8,1.2,5.4
2017,7,9,23.8,34.9,1.4,4
2017,7,10,23.6,33.8,1.3,3.6
2017,7,11,23.6,32.5,1.1,0
2017,7,12,23.7,32.4,1.1,0
2017,7,13,23.9,33.2,1.3,0.4
2017,7,14,24.4,33,1.9,0
2017,7,15,24.3,32.4,0.8,0
2017,7,16,22.6,33.1,1.1,0
2017,7,17,23.6,32.6,1.5,0
2017,7,18,23.5,33,0.9,0
2017,7,19,23.7,34.2,1,0
2017,7,20,24.4,33.5,1.2,0
2017,7,21,24.2,34.3,1.2,0
2017,7,22,24.1,34.4,1.2,0
2017,7,23,23.4,34.5,1.1,0
2017,7,24,23.6,33.5,0.9,0
2017,7,25,23.9,32.6,1.4,0
2017,7,26,23,34.5,1.5,0
2017,7,27,23.6,32.5,1.1,0
2017,7,28,22.9,34.4,0.9,0
2017,7,29,23.9,34.8,1.2,0
2017,7,30,24.8,34,0.9,0
2017,7,31,24.4,33.9,1.6,0
2017,8,1,24.6,32.3,1.6,2.8
2017,8,2,24,34.5,1.4,10.4
2017,8,3,23.7,32.6,0.9,0.2
2017,8,4,23.8,31.6,1.6,0.01
2017,8,5,24.6,33.1,1.5,0
2017,8,6,24,32.3,1.7,0
2017,8,7,23.5,35.7,1.4,2.6
2017,8,8,23.9,33.3,1.5,3.4
2017,8,9,23.9,29.2,1.4,1.2
2017,8,10,23.6,34.5,1.3,24.6
2017,8,11,23.1,31.7,1.5,4.2
2017,8,12,23.4,29.6,1.4,1
2017,8,13,23.4,33.1,1.2,1.4
2017,8,14,23.4,31.3,1,29.6
2017,8,15,22.9,31.9,1,0.01
2017,8,16,23.4,33.6,0.9,0
2017,8,17,23.2,34,1.1,0
2017,8,18,23.4,32.9,1,0
2017,8,19,24,34.7,1.2,0
2017,8,20,23.3,32.5,0.8,0
2017,8,21,22.6,33.9,1,0
2017,8,22,23.4,33.6,1.1,0
2017,8,23,24.4,33.6,1.2,0
2017,8,24,23.9,33.6,1.7,0
2017,8,25,25,33.2,1.5,0.6
2017,8,26,22.3,32.4,1.5,29.8
2017,8,27,22.3,32.2,0.9,0
2017,8,28,23,31.4,0.9,10.6
2017,8,29,22.7,34.5,1.2,1
2017,8,30,24.8,33.3,1.1,4.8
2017,8,31,23.7,34,1,10.6
2017,9,1,24.8,31.5,1,11.4
2017,9,2,24.1,34.4,1.5,1.8
2017,9,3,24.2,32.5,1,11.8
2017,9,4,24.1,32.2,1.1,0
2017,9,5,24.5,33.3,1.1,30.2
2017,9,6,24,32.7,1.4,1.8
2017,9,7,24.4,33.6,1.4,0.2
2017,9,8,24.3,34.1,1.7,14.4
2017,9,9,24.4,32,0.8,0
2017,9,10,24.6,30.5,1.7,9.6
2017,9,11,22.8,31.1,1.2,0.4
2017,9,12,24.1,34,1.3,0
2017,9,13,23.9,32.5,1.4,12.8
2017,9,14,23.5,30.9,0.9,12.2
2017,9,15,23.2,31.1,0.9,27.8
2017,9,16,22.4,32,0.9,0
2017,9,17,23.7,33.9,1.4,8.8
2017,9,18,22.8,31.8,1.9,23.2
2017,9,19,23.1,31.5,1.4,1.2
2017,9,20,23.6,30.7,1.3,5.2
2017,9,21,22.6,28,1,3
2017,9,22,22.5,33.6,1.2,0
2017,9,23,23.2,32.5,0.9,0
2017,9,24,23.1,32.9,1.1,0
2017,9,25,24,34.3,1.2,0
2017,9,26,24.3,32.4,1.5,6.4
2017,9,27,23.3,33.6,1.4,0
2017,9,28,24.7,34.1,1,1.6
2017,9,29,23.7,31.5,1.5,12.4
2017,9,30,23.3,32,1.4,0
2017,10,1,24,32.5,1.1,0.2
2017,10,2,23.5,32.2,1.3,1.6
2017,10,3,23.6,32.1,1.2,0
2017,10,4,22.2,33.6,1.1,1.2
2017,10,5,23.6,33.7,1.2,15.2
2017,10,6,24.1,33.9,1.7,0.2
2017,10,7,24.4,31.4,1.6,0.4
2017,10,8,23.9,33.1,1.7,0
2017,10,9,24.6,32.6,1.4,0.2
2017,10,10,24,32.9,1.2,0.4
2017,10,11,25.1,33.2,0.7,0
2017,10,12,24.6,34,1.3,8
2017,10,13,24.1,29.7,1.5,0
2017,10,14,24.3,32.5,0.9,0
2017,10,15,23.5,33.8,1.1,0
2017,10,16,23.2,34.7,1.2,0
2017,10,17,23.4,35.6,1.1,0
2017,10,18,22.7,35.1,0.6,0
2017,10,19,23.5,35.5,1,0
2017,10,20,24.1,34.8,0.9,0
2017,10,21,23.5,34.3,1,0
2017,10,22,23.1,34.3,1.2,0
2017,10,23,22.9,35,1.3,0
2017,10,24,23,35,1.2,0
2017,10,25,23.3,35.4,1.1,0
2017,10,26,24.1,34.1,1.2,0
2017,10,27,23.9,34.5,1,7.2
2017,10,28,23.4,33.3,0.8,10.6
2017,10,29,22.9,33.5,0.6,0.4
2017,10,30,23.7,34,1,47.2
2017,10,31,23.5,33.8,1.1,7
2017,11,1,23.4,32.8,0.8,1.8
2017,11,2,24,32.2,0.6,3.4
2017,11,3,23.3,31.7,0.4,16.4
2017,11,4,24.2,29,1.3,15
2017,11,5,24,26.6,1.6,66.8
2017,11,6,23.9,30.7,0.5,0
2017,11,7,23.8,30.7,0.7,0
2017,11,8,24.3,29.2,1,0.8
2017,11,9,23.6,32.8,1.3,0
2017,11,10,23.6,33.2,1.2,0
