2.3463
year,month,day,tmin,tmax,wind,rain
# Melaka, Melaka; 2.3463, 102.2531; 2020-2024
2020,1,1,24.5,32.8,3.5,0
2020,1,2,24.8,31.3,2.5,3.4
2020,1,3,23.8,32.5,2.6,0.4
2020,1,4,23.4,33,2.8,0
2020,1,5,23.7,32.8,2.7,0
2020,1,6,23.2,33.1,2.7,0
2020,1,7,24.2,33.5,2.5,0
2020,1,8,25.3,32.6,2.7,0
2020,1,9,24.5,33.4,2.7,0
2020,1,10,24.1,32.4,1.8,0
2020,1,11,24.3,32.2,1.4,2.2
2020,1,12,23.2,31.9,1.3,43
2020,1,13,24.1,32.6,2.6,0
2020,1,14,24.3,32.8,3.3,0
2020,1,15,24.7,33.5,3,0
2020,1,16,24.4,33.7,2.6,0
2020,1,17,25,33.5,2.2,0
2020,1,18,24.8,34.1,2.4,0
2020,1,19,25.3,33.9,2.8,0
2020,1,20,25.3,34,3.3,0
2020,1,21,26,32.2,3.3,0.2
2020,1,22,24.3,34,2.9,0
2020,1,23,24.5,34.1,2.6,0
2020,1,24,24.6,34.3,3.1,0
2020,1,25,24.2,33.9,2.3,0
2020,1,26,24.4,33.8,1.9,0
2020,1,27,25.8,32,1.7,0
2020,1,28,25.9,32.8,1.9,5
2020,1,29,23.6,27.7,1.7,17.2
2020,1,30,23.3,33.1,1.9,0
2020,1,31,25.8,33,3.2,2.2
2020,2,1,24.4,32,3.8,0
2020,2,2,25,32.9,4.2,0
2020,2,3,23.2,32.7,3.6,0
2020,2,4,23.9,32.6,2.6,0
2020,2,5,23.9,33.3,2.8,0
2020,2,6,24.4,33.7,3.1,0
2020,2,7,24.7,33.1,3.1,0
2020,2,8,23.3,32.4,2.2,0
2020,2,9,22.8,32.7,1.8,6
2020,2,10,23.3,29.4,2,0
2020,2,11,24.2,30,2.9,0
2020,2,12,24.8,32.3,2.8,3.8
2020,2,13,25.3,34.3,2.7,4.6
2020,2,14,24.9,33.9,2.2,0
2020,2,15,24.6,31.7,2.4,0
2020,2,16,24.7,32.8,1.7,0
2020,2,17,24.9,34.5,2.4,4.8
2020,2,18,23.6,27.6,2.5,0.6
2020,2,19,24.9,31.7,2.7,0
2020,2,20,23.9,33.6,3.6,0
2020,2,21,23.9,31.5,3.3,0
2020,2,22,24.4,33.2,4.3,0
2020,2,23,23.9,33.9,3.5,0
2020,2,24,24.4,32.9,3.8,0
2020,2,25,25.1,33.9,3.8,0
2020,2,26,24.6,34.9,3.8,0
2020,2,27,25,34.9,3.5,0
2020,2,28,24.8,35.2,3.4,0
2020,2,29,24.4,34.4,3.6,0
2020,3,1,24.8,35,2.7,0
2020,3,2,24.2,35.1,2.5,0
2020,3,3,25.5,34.4,3.1,0
2020,3,4,25.6,34.9,2.4,0
2020,3,5,26.2,32.5,2.5,3.8
2020,3,6,24,32.3,1.6,3.6
2020,3,7,24.8,33.3,1.6,0
2020,3,8,24.6,33.7,1.5,0
2020,3,9,24.4,34.2,1.7,0
2020,3,10,25.5,34.9,1.7,0
2020,3,11,26.5,34.2,2.2,0
2020,3,12,25.5,34.9,2.4,0
2020,3,13,26,34.8,2.1,0
2020,3,14,26.3,34.4,2.3,0.2
2020,3,15,26.1,34.9,2.1,3
2020,3,16,25.8,35.8,2.9,0
2020,3,17,24.8,35.5,2.8,0
2020,3,18,23.7,33.8,2.2,5.8
2020,3,19,24.3,33.3,2,0
2020,3,20,24.4,33.5,2.1,0
2020,3,21,24.8,33.5,2.1,0
2020,3,22,24.4,33.3,1.7,8.4
2020,3,23,24.4,31.4,1.4,8
2020,3,24,24.2,34.1,1.8,1.2
2020,3,25,24.2,34.1,2.1,0.4
2020,3,26,25.3,34.9,2.2,0.2
2020,3,27,25.4,34.5,1.9,0
2020,3,28,25.8,35,1.7,0
2020,3,29,26,34.2,2.1,0
2020,3,30,25.8,34.3,2,0
2020,3,31,25.3,34,1.7,0
2020,4,1,25.4,34.2,1.7,0
2020,4,2,25,35.3,2.1,14.6
2020,4,3,25,33,1.7,12
2020,4,4,25.2,34.3,2.1,0
2020,4,5,25.4,34.5,1.9,0.2
2020,4,6,23.8,33.8,1.7,28.8
2020,4,7,23.9,32.3,1.5,0.6
2020,4,8,25.6,33.2,1.6,0
2020,4,9,25.1,34.8,1.9,0
2020,4,10,24.1,34.8,2.1,0
2020,4,11,25.4,33.8,2,0
2020,4,12,25.9,35.3,1.9,0
2020,4,13,25.3,34.3,1.6,0
2020,4,14,26.1,34.4,2.5,0
2020,4,15,25.7,33.9,2.2,0
2020,4,16,25.5,34.9,2.2,0
2020,4,17,25.9,34.4,1.6,0
2020,4,18,25,35.7,1.8,1.6
2020,4,19,25.1,34.6,1.9,0
2020,4,20,26.4,34.9,1.9,2.6
2020,4,21,25.5,34.8,1.6,17.2
2020,4,22,25.4,34.1,1.7,3.6
2020,4,23,25,33,1.5,48.6
2020,4,24,24.2,33.8,1.5,0
2020,4,25,25,33.2,1.5,3.2
2020,4,26,24.8,32.4,1.8,1.4
2020,4,27,24.8,32.7,1.4,11.4
2020,4,28,24.5,31.3,1.5,0.4
2020,4,29,24.6,33.3,1.7,0
2020,4,30,25.8,32,1.5,0
2020,5,1,25.4,32.1,1.6,0
2020,5,2,26,33.9,1.5,0.4
2020,5,3,25,34.2,1.4,0
2020,5,4,25.6,32.8,1.4,0
2020,5,5,25.9,34.1,1.4,37.8
2020,5,6,24.4,31.9,1.2,0
2020,5,7,26,33.9,1.2,0
2020,5,8,27.3,33.2,1.6,13
2020,5,9,26.3,33,1.2,0
2020,5,10,24.8,31.8,1.8,2.2
2020,5,11,25.1,34,1.7,0
2020,5,12,25.7,34,2.2,8
2020,5,13,23.4,30.6,1.7,0.4
2020,5,14,24.6,34.1,1.5,0
2020,5,15,25.5,32.6,1.6,0
2020,5,16,26.9,33.3,2.1,6
2020,5,17,25.2,33.1,1.6,1.2
2020,5,18,25.5,34.4,1.3,0
2020,5,19,25.8,34.1,1.2,1.4
2020,5,20,25.4,31.9,1.3,4
2020,5,21,25.8,33.2,1.4,0
2020,5,22,25.9,32.4,1.1,22.8
2020,5,23,25.6,29.8,1,1.2
2020,5,24,24.7,33.5,1,0
2020,5,25,26.1,34,1.2,0
2020,5,26,25.8,30.4,1.1,20.8
2020,5,27,25.7,32.5,1.3,0
