4.3995
year,month,day,tmin,tmax,wind,rain
# Miri, Sarawak; 4.3995, 113.9914; 2016-2020
2016,1,1,25.3,33.1,2.722222222,0
2016,1,2,24.3,31.7,2.111111111,0
2016,1,3,25.5,30.8,1.638888889,0
2016,1,4,25.4,31.7,1.638888889,5.08
2016,1,5,24.6,31,2.222222222,0
2016,1,6,25.9,31.5,2,0
2016,1,7,24.6,31.9,2.722222222,0
2016,1,8,25.9,31,2.833333333,0
2016,1,9,25.8,31.6,2.611111111,0
2016,1,10,25.9,31.8,1.861111111,0
2016,1,11,25.4,31.6,2.222222222,17.53
2016,1,12,24.5,30.9,1.805555556,41.15
2016,1,13,24.2,31.3,2.055555556,0
2016,1,14,24.8,32.9,2.361111111,0
2016,1,15,25.2,32.3,2.166666667,0
2016,1,16,25.8,31.9,2.472222222,0
2016,1,17,25.9,31,1.861111111,0
2016,1,18,25.1,31.3,2.361111111,0
2016,1,19,24.4,32.8,2.722222222,0
2016,1,20,23.7,31.6,2.722222222,0
2016,1,21,25.2,30.9,1.694444444,1.52
2016,1,22,24.7,32.7,2,0.25
2016,1,23,24.7,32.4,3.5,4.06
2016,1,24,24.7,32.8,5.361111111,0
2016,1,25,25,32.5,4.222222222,0
2016,1,26,25.3,33.1,2.472222222,0
2016,1,27,24.3,32.4,2.222222222,0
2016,1,28,24.3,31.1,2.166666667,0
2016,1,29,24.8,31.4,2.222222222,0
2016,1,30,25.6,32.8,2.055555556,0
2016,1,31,24.7,31.7,3.083333333,0
2016,2,1,26.5,31.7,3.638888889,0
2016,2,2,25.8,32.9,3.444444444,0
2016,2,3,24.3,31.3,2.888888889,0
2016,2,4,23.3,29.5,2.111111111,3.56
2016,2,5,24.7,31.1,2.833333333,57.15
2016,2,6,26.3,32.3,4.472222222,0
2016,2,7,25.1,30.2,4.833333333,0.51
2016,2,8,25,30.5,3.027777778,5.84
2016,2,9,25.6,31.6,2.305555556,5.08
2016,2,10,25.6,31.2,1.916666667,1.78
2016,2,11,25.5,31.5,2.361111111,7.87
2016,2,12,24.5,31.5,2,0
2016,2,13,25.7,33,2.305555556,0
2016,2,14,25.6,31.1,2.25,0
2016,2,15,24.5,31.8,3.444444444,0
2016,2,16,24.3,32.3,2.944444444,0
2016,2,17,24.2,32.1,2.611111111,0
2016,2,18,25.8,32.5,4.361111111,0
2016,2,19,25.7,32,5,0
2016,2,20,26,32.2,5.444444444,0
2016,2,21,25.7,32.2,3.75,0
2016,2,22,24.3,31.6,2.611111111,0
2016,2,23,25,31.4,3.194444444,0
2016,2,24,24.3,31.4,4.944444444,0
2016,2,25,24.2,32,3.805555556,0
2016,2,26,25.9,32.7,4.277777778,0
2016,2,27,26.2,32.8,4.222222222,0
2016,2,28,25.6,32.5,4.694444444,0
2016,2,29,25.9,32.4,4.583333333,0
2016,3,1,26.3,32.2,4.583333333,0
2016,3,2,26.5,32.6,3.5,0
2016,3,3,25,29.1,2.583333333,9.91
2016,3,4,25.5,31,2.416666667,16
2016,3,5,25.9,31.3,3.027777778,0.51
2016,3,6,25.7,31.9,2.888888889,0
2016,3,7,25.8,32.9,2.666666667,0
2016,3,8,25.2,32.5,2.527777778,0.25
2016,3,9,25.6,31,2.416666667,0
2016,3,10,25.4,31.8,2.472222222,0
2016,3,11,27,33,2.944444444,0
2016,3,12,25.1,33.6,2.888888889,1.52
2016,3,13,24.5,30.6,2.111111111,0
