5.8394
year,month,day,tmin,tmax,wind,rain
# Sandakan, Sabah; 5.8394, 118.1172; 2020-2024
2020,1,1,26.2,30.6,4.0555588,11.94
2020,1,2,25.5,30.7,4.8888928,1.02
2020,1,3,24.8,28.8,4.6388926,3.05
2020,1,4,26.8,30.3,4.4166702,24.89
2020,1,5,26.9,30.6,3.9166698,0
2020,1,6,26.7,30.5,3.0833358,0
2020,1,7,25.6,30.1,2.1666684,8.89
2020,1,8,23.6,27.9,2.1666684,32
2020,1,9,26.5,30.1,2.9444468,3.05
2020,1,10,25.2,29.8,2.0555572,5.08
2020,1,11,23.8,26.5,0.9166674,64.01
2020,1,12,24.1,28.2,1.38889,51.05
2020,1,13,23.5,28.7,1.6388902,21.08
2020,1,14,24.1,29.2,1.944446,0
2020,1,15,23.5,28.7,1.7500014,57.91
2020,1,16,25.8,29.7,2.0555572,30.99
2020,1,17,25,29.8,2.1666684,5.08
2020,1,18,25,30.2,1.5833346,0.51
2020,1,19,25,30.4,2.8888912,5.08
2020,1,20,26.5,30.4,3.750003,0
2020,1,21,26.2,30.7,4.8888928,4.06
2020,1,22,26.1,30.2,2.9722246,0
2020,1,23,23,30,2.5833354,0
2020,1,24,26.6,30.4,3.3055582,0
2020,1,25,25.8,30.3,1.5833346,5.08
2020,1,26,26.1,30.3,1.4444456,10.92
2020,1,27,25.2,30.4,2.4166686,61.98
2020,1,28,26.1,30.5,2.8888912,0
2020,1,29,27,30.7,3.9166698,3.05
2020,1,30,24.8,30.4,2.7222244,0.25
2020,1,31,23.2,30.5,3.6388918,0
2020,2,1,26.6,30.1,4.16667,0
2020,2,2,25.7,30.2,4.5277814,0.76
2020,2,3,25.8,30.1,4.8333372,2.03
2020,2,4,26.1,30.2,4.2777812,1.02
2020,2,5,25.9,29.9,3.194447,0
2020,2,6,24.4,29.9,2.361113,0
2020,2,7,23.8,26.5,2.0555572,0.51
2020,2,8,24.1,29.5,2.361113,58.93
2020,2,9,25,30.2,2.361113,4.06
2020,2,10,25.1,30.3,4.0000032,0
2020,2,11,26.3,29.9,5.138893,0
2020,2,12,26.2,30.3,2.8888912,0
2020,2,13,23.9,30.1,2.4166686,0
2020,2,14,24.7,30.4,3.0277802,0.51
2020,2,15,25.3,30.6,2.4722242,0
2020,2,16,25.2,30.8,3.333336,0
2020,2,17,24.4,30.6,4.1111144,5.33
2020,2,18,25,29.3,4.9444484,1.52
2020,2,19,24.2,30.4,5.8611158,4.06
