3.004954
year,month,day,tmin,tmax,wind,rain
# Serdang, Selangor; 3.004954, 101.402290; 2003-2007
2003,1,1,23.9,33.9,0.664236111,44.3
2003,1,2,23,32.5,0.485416667,12.6
2003,1,3,24,32.5,0.49849537,0.7
2003,1,4,23.9,33.7,0.354513889,0
2003,1,5,23.3,33.5,0.319212963,0
2003,1,6,22,34,0.326041667,0
2003,1,7,22.7,32.5,0.413773148,9.6
2003,1,8,23.4,32.2,0.401273148,14.5
2003,1,9,23,32.5,0.387615741,41.8
2003,1,10,22.1,29.6,0.426273148,0.4
2003,1,11,22.9,31.1,0.343865741,0.1
2003,1,12,22.5,30.4,0.371990741,0.1
2003,1,13,22.2,32.9,0.341087963,29.4
2003,1,14,22.1,32.9,0.380208333,8.7
2003,1,15,22.3,31.4,0.369560185,9.2
2003,1,16,22.9,33.5,0.428472222,0.4
2003,1,17,22.2,33.4,0.636921296,0
2003,1,18,22.3,32.7,0.365625,0
2003,1,19,22.5,32.8,0.460300926,0.1
2003,1,20,22.6,30.6,0.313888889,0
2003,1,21,22.1,32.9,0.611458333,27.9
2003,1,22,23,31,0.334490741,0
2003,1,23,23,32.9,0.409837963,0
2003,1,24,23.6,32.7,0.278240741,5.2
2003,1,25,23,27.8,0.53275463,1.3
2003,1,26,23,33.5,0.442824074,0.2
2003,1,27,23,33.9,0.647337963,0
2003,1,28,21,34.1,0.617013889,0
2003,1,29,23.5,32.6,1.257175926,0
2003,1,30,23.5,33,0.446875,0
2003,1,31,23.5,30,0.159490741,5.9
2003,2,1,23,33.2,0.335300926,5.3
2003,2,2,23.5,31.5,7.87E-02,0.9
2003,2,3,22.2,33.5,0.527777778,0
2003,2,4,23.1,32.6,0.523148148,0
2003,2,5,21.5,33,0.600694444,0
2003,2,6,21.5,33.5,0.787152778,0
2003,2,7,21.5,33.6,0.555555556,0
2003,2,8,22.5,35,0.550810185,0
2003,2,9,23,34,0.437384259,10.6
2003,2,10,23.5,34.6,0.582291667,0
2003,2,11,23.4,35.1,0.821643519,0
2003,2,12,23.2,34.4,0.919328704,8.8
2003,2,13,22.9,33.8,0.765625,24.2
2003,2,14,21.9,34.1,0.786111111,0
2003,2,15,23.6,32.1,0.484027778,0
2003,2,16,23.2,29.1,0.602199074,1.8
2003,2,17,24,33.9,0.628703704,21.7
2003,2,18,23,32,0.568634259,2.3
2003,2,19,24,33.5,0.709027778,0
2003,2,20,23.5,32.5,0.768055556,0
2003,2,21,24.5,32.5,0.491203704,49
2003,2,22,22,34.5,0.546990741,14.8
2003,2,23,21.9,34.5,0.715625,134.8
2003,2,24,22,34,0.723842593,3.3
2003,2,25,22.2,33.9,0.624189815,0.7
2003,2,26,23.2,34,0.821875,0
2003,2,27,23.2,32,0.726273148,26.2
2003,2,28,23,33.5,0.71412037,0
2003,3,1,23,34.1,0.590162037,0
2003,3,2,25,33.8,0.774421296,0
2003,3,3,23.5,33.9,0.560763889,0
2003,3,4,23.9,33.8,0.826388889,0
2003,3,5,23.8,34.9,0.765277778,0
2003,3,6,24,35,0.826851852,0
2003,3,7,24.6,35.1,0.857291667,3.9
2003,3,8,24,33,0.480439815,61.7
2003,3,9,21.9,34.5,0.456018519,3.9
2003,3,10,22.9,34,1.112962963,0
2003,3,11,23.5,33,1.158217593,0
2003,3,12,24.5,34,1.183680556,0
2003,3,13,23.2,34.1,0.665625,42.2
2003,3,14,22.1,34,0.615972222,2.4
2003,3,15,23,35.1,0.534143519,0
2003,3,16,23.1,35.5,0.46400463,59.9
2003,3,17,23,33.1,0.588310185,8.5
2003,3,18,22.9,33.7,0.762731481,23.9
2003,3,19,23.5,35.6,0.664351852,0.1
2003,3,20,24,34.7,0.501851852,0
2003,3,21,24,33,0.611689815,8.1
2003,3,22,24.5,34.9,0.766435185,14.4
2003,3,23,23.5,35.1,0.780439815,0
2003,3,24,23,34.9,0.823263889,29.5
2003,3,25,23.5,33.5,0.752777778,5.6
2003,3,26,23.9,30.9,0.833101852,8.1
2003,3,27,22.7,34,0.571527778,18.6
2003,3,28,23.5,33.5,0.5625,5
2003,3,29,23.5,33,0.507175926,14.7
2003,3,30,23.6,34,0.558796296,0
2003,3,31,24.2,33,0.832407407,1
2003,4,1,23.6,32,0.782407407,0
2003,4,2,23,31.2,0.491435185,0
2003,4,3,23.9,33.1,0.522337963,0
2003,4,4,24.1,33.9,1.02962963,0.8
2003,4,5,24.5,34,0.719328704,22.5
2003,4,6,23.1,35,0.470601852,16.5
2003,4,7,24.1,33.7,0.694675926,23.3
2003,4,8,23.2,34.9,0.618402778,34.6
2003,4,9,23.2,35.6,0.625578704,8.1
2003,4,10,24,34,1.030092593,5.5
2003,4,11,23.2,34.4,0.597337963,3.1
2003,4,12,24.1,34.6,0.6,53.3
2003,4,13,23.2,34.5,0.68,0
2003,4,14,24,34.3,0.74,0
2003,4,15,24.3,34.5,0.87,0
2003,4,16,24.5,31.1,0.371527778,0.3
2003,4,17,23,34,0.54,0
2003,4,18,23.6,34.1,0.64,18
2003,4,19,23.7,33.9,0.63,4.4
2003,4,20,23.7,34,0.45,0
2003,4,21,23.5,31.2,0.234027778,3.4
2003,4,22,23.2,34.1,0.514699074,7.3
2003,4,23,23.7,34.1,0.5875,22.3
2003,4,24,21.7,33.4,0.698263889,0
2003,4,25,23.9,34.4,0.629976852,5.9
2003,4,26,23.5,34.6,0.523726852,8.3
2003,4,27,23.5,33.9,0.531018519,0.2
2003,4,28,23.4,35,0.52025463,2.7
2003,4,29,24,33.5,0.45775463,0.3
2003,4,30,24.5,34,0.594675926,40.9
2003,5,1,23.5,34,0.339467593,7.3
2003,5,2,24.3,31.5,0.598032407,0
2003,5,3,24.2,29.1,0.425347222,0.3
2003,5,4,23.6,33.6,0.91712963,23.7
2003,5,5,22.5,32.5,0.643171296,0
2003,5,6,23.7,33.9,0.706018519,25.5
2003,5,7,23.5,34.9,0.625462963,38.4
2003,5,8,23.5,33,0.625925926,6
2003,5,9,24.4,34.3,0.845023148,21.8
2003,5,10,23.4,31.8,0.360300926,0
2003,5,11,24.3,34.5,0.542939815,0.5
2003,5,12,24.4,32.1,0.397106481,0
2003,5,13,24.9,34.6,0.686805556,1.3
2003,5,14,23.9,32.1,0.345717593,0.6
2003,5,15,23.8,32.1,0.27025463,0
2003,5,16,23.3,33.8,0.487152778,0
2003,5,17,23.5,35,0.650462963,0
2003,5,18,22.5,35.2,0.580208333,0
2003,5,19,22,35.5,0.471643519,0
2003,5,20,23.9,35,0.377546296,0
2003,5,21,24.4,34.6,0.325115741,0
2003,5,22,24,32.8,0.384375,0
2003,5,23,23.9,34.2,0.537152778,0
2003,5,24,23.9,35,0.490509259,0
2003,5,25,24,33,0.445601852,0
2003,5,26,23.7,32.5,0.418518519,16
2003,5,27,23.3,33.8,0.464583333,0
2003,5,28,23.5,34.5,0.853240741,0
2003,5,29,23.6,33.2,0.364467593,0
2003,5,30,23.4,33.7,0.471527778,0
2003,5,31,23.5,34,0.43912037,0
2003,6,1,23,34.2,0.493634259,0
2003,6,2,23,35,0.586342593,5.2
2003,6,3,23.3,34.3,0.477662037,0
2003,6,4,23.2,34.4,0.429050926,0
2003,6,5,23.4,34.7,0.693171296,0
2003,6,6,23.3,35.2,0.591550926,0
2003,6,7,23,35,0.624537037,0
2003,6,8,23.4,35.5,0.526157407,23.9
2003,6,9,23,34.4,0.659143519,0
2003,6,10,24,34.2,0.494212963,3.7
2003,6,11,23.3,33.8,0.58900463,0
2003,6,12,22.9,33.5,0.474189815,0
2003,6,13,22,34.1,0.668287037,0
2003,6,14,23.1,34.5,0.636574074,0
2003,6,15,22.7,34.2,0.489583333,3.8
2003,6,16,23,32,0.52650463,18.7
2003,6,17,23.3,34.6,0.574652778,0
2003,6,18,23.5,34,0.636574074,0
2003,6,19,24,32.6,0.483564815,0
2003,6,20,23.2,38.4,0.666782407,26.2
2003,6,21,22,34.5,0.820833333,12.7
2003,6,22,22.5,32.8,0.555555556,0
2003,6,23,22.5,34.4,0.443865741,16.2
2003,6,24,22.5,34.9,0.493518519,5.1
2003,6,25,22.7,34,0.500694444,8.3
2003,6,26,22.9,33.9,0.610185185,13.4
2003,6,27,22.2,32.9,0.407175926,14
2003,6,28,23,34.1,0.611342593,1.3
2003,6,29,23.2,31.7,0.524421296,0
2003,6,30,22,33.7,0.63587963,35.5
2003,7,1,22.2,33.5,0.498148148,5.4
2003,7,2,22.1,32.7,0.286458333,0.2
2003,7,3,22.7,32.6,0.296296296,14.8
2003,7,4,23,33.4,0.605902778,0
2003,7,5,23.2,33.3,0.821759259,0.2
2003,7,6,22.8,33.5,0.724652778,0
2003,7,7,22.4,33.1,1.150694444,0.8
2003,7,8,22.1,31.4,0.875810185,0
2003,7,9,22.5,33.2,0.775115741,0.2
2003,7,10,22.8,33,0.781712963,0
2003,7,11,24,33.2,0.803472222,0
2003,7,12,22.5,30,0.442361111,0.3
2003,7,13,22.5,33,0.595023148,0.2
2003,7,14,23.7,34.2,0.606597222,0
2003,7,15,23.5,34,0.724652778,37.5
2003,7,16,23,32.5,0.605439815,0
2003,7,17,23.4,31,0.776967593,3
2003,7,18,23.5,32.8,0.472800926,4.2
2003,7,19,23.2,34,0.627430556,5.9
2003,7,20,23,33.7,0.428356481,3.6
2003,7,21,23.1,34,0.602662037,71.8
2003,7,22,22,31.2,0.861342593,0
2003,7,23,22.7,32.5,0.92025463,0.2
2003,7,24,22.7,32.9,0.912037037,0
2003,7,25,22.7,32.87,0.951041667,12.4
2003,7,26,22.8,33.4,0.694444444,0
2003,7,27,22.7,34,0.921412037,28.7
2003,7,28,22.6,34,0.856944444,7.8
2003,7,29,21.5,33.2,0.929976852,0
2003,7,30,22.5,33.5,0.753472222,0
2003,7,31,22.4,33.2,0.768287037,0
2003,8,1,22,32,0.3,0
2003,8,2,23,30.9,0.78,2.8
2003,8,3,23.5,33.2,0.583564815,1.2
2003,8,4,23,32.3,0.627314815,0
2003,8,5,22.5,33,0.528125,0
2003,8,6,22.9,33.5,0.578472222,0
2003,8,7,23.5,33.3,0.76099537,0
2003,8,8,24.2,33.4,0.835069444,0
2003,8,9,23,33,0.641550926,0
2003,8,10,24.2,34,0.610069444,0
2003,8,11,23.7,34.2,0.591087963,8.7
2003,8,12,22,34.1,0.507291667,13.7
2003,8,13,22.4,32.3,0.628240741,65.2
2003,8,14,22.3,33.3,0.790509259,8.1
2003,8,15,22.5,33.1,0.812615741,1.5
2003,8,16,22.5,33.4,0.369097222,1.6
2003,8,17,23.1,31.5,0.815856481,0.1
2003,8,18,24,31.9,0.4875,0
2003,8,19,22.6,34.733,0.772800926,0
2003,8,20,22.9,33.5,0.578472222,0
2003,8,21,23,34.5,0.675925926,0
2003,8,22,23,34,0.638078704,4.7
2003,8,23,23.2,32.2,0.535185185,14.2
2003,8,24,23.2,32.6,0.631597222,0
2003,8,25,24,32.9,0.538773148,0
2003,8,26,23.9,33.4,0.693981481,0
2003,8,27,23.9,34.1,0.719444444,66.1
2003,8,28,22.8,33,0.618287037,8.4
2003,8,29,22,33.2,0.546412037,4.4
2003,8,30,22.3,33,0.564930556,2
2003,8,31,22,33.2,0.55787037,0
2003,9,1,23,34,0.722916667,0
2003,9,2,23.2,31.2,0.804282407,0
2003,9,3,23,32.5,0.46400463,0
2003,9,4,22.9,33,0.893055556,0
2003,9,5,23,32.6,0.578009259,9.1
2003,9,6,24.1,34.2,0.587037037,0
2003,9,7,23.7,34.1,0.283912037,26
2003,9,8,23.3,32.6,0.402893519,0.1
2003,9,9,22.1,32.7,0.967592593,0
2003,9,10,22,33.1,0.492824074,2.9
2003,9,11,23.5,31.5,0.367361111,0.1
2003,9,12,23.6,32,0.497222222,0
2003,9,13,23.3,33.3,0.409953704,0
2003,9,14,23.1,32.5,0.475115741,7
2003,9,15,23,31.1,0.330555556,6.3
2003,9,16,22.9,34.9,0.453009259,0
2003,9,17,22.9,32,0.247916667,0.1
2003,9,18,23.5,34,0.648148148,0.8
2003,9,19,23,32.9,0.665162037,0
2003,9,20,22.1,33.1,0.499884259,0
2003,9,21,22.1,33.9,0.894791667,0.7
2003,9,22,22,34,0.621990741,1.7
2003,9,23,22,32.6,0.379050926,5.4
2003,9,24,22.5,32.9,0.504166667,22.6
2003,9,25,22.5,32.5,0.525115741,0.2
2003,9,26,23.7,33,0.349421296,0
2003,9,27,23.3,32.2,0.448842593,96.3
2003,9,28,22.5,33.9,0.414699074,1.6
2003,9,29,24,33.2,0.367708333,0
2003,9,30,23.9,33,0.456481481,0
2003,10,1,23.5,34.2,0.602777778,0.1
2003,10,2,23.7,33.9,0.440625,0.7
2003,10,3,23.1,34,1.024305556,0
2003,10,4,23,32,1.033680556,0
2003,10,5,23.3,33.2,0.738310185,0.2
2003,10,6,22.8,33,1.384027778,4.1
2003,10,7,22.8,32,1.161342593,3.7
2003,10,8,22.1,31,0.421643519,1.7
2003,10,9,22.8,33.8,0.655324074,0
2003,10,10,23.1,34.5,0.745833333,4.9
2003,10,11,23,33.2,0.74375,13.4
2003,10,12,23.1,31.1,0.356481481,0
2003,10,13,23.5,32,0.374537037,0
2003,10,14,21.5,34.7,0.673032407,0
2003,10,15,23.7,32.1,0.440277778,34.1
2003,10,16,21.9,33.3,0.469675926,0
2003,10,17,23.5,34.2,0.344444444,0
2003,10,18,23.9,33,0.660185185,0.9
2003,10,19,23,33.6,0.514583333,0
2003,10,20,23.2,33.5,0.805671296,8.6
2003,10,21,23,33.7,0.863657407,3.2
2003,10,22,23.5,34.5,0.539351852,0
2003,10,23,23.8,34.3,0.519328704,1.9
2003,10,24,23.7,34,0.396990741,0.4
