2.2873
year,month,day,tmin,tmax,wind,rain
# Sibu, Sarawak; 2.2873, 111.8305; 2016-2020
2016,1,1,24.5,32.8,1.861111111,0
2016,1,2,23.8,32.1,1.694444444,0
2016,1,3,23.7,28.3,1.388888889,133.35
2016,1,4,24.4,33,1.083333333,9.91
2016,1,5,25.2,33.2,1.027777778,0
2016,1,6,24.6,32.8,1.555555556,17.53
2016,1,7,24.4,33.5,1.333333333,7.62
2016,1,8,24.9,29.3,1.805555556,0
2016,1,9,24.8,30.9,0.861111111,0
2016,1,10,24.8,32.2,1.277777778,17.27
2016,1,11,24,32.7,1.75,19.56
2016,1,12,24.4,31.9,1.277777778,2.79
2016,1,13,23.5,32.5,1.444444444,0
2016,1,14,25.1,31.1,1.138888889,1.02
2016,1,15,24.7,33.8,1.277777778,9.4
2016,1,16,25.5,30.5,1.277777778,0
2016,1,17,24.3,32.9,1.083333333,4.06
2016,1,18,23.6,31.8,1.333333333,2.03
2016,1,19,24.8,30.9,1.333333333,0
2016,1,20,25.3,31.9,1.277777778,0
2016,1,21,22.9,33.2,1.75,5.84
2016,1,22,23.1,31.8,1.222222222,119.89
2016,1,23,24.9,30.2,1.222222222,0
2016,1,24,24.1,31.8,1.944444444,20.32
2016,1,25,24.3,31.7,2.055555556,0
2016,1,26,23.5,29.3,1.083333333,31.24
2016,1,27,25.1,30.7,0.777777778,17.53
2016,1,28,24.5,32.2,1.583333333,22.61
2016,1,29,24.4,30.3,1.222222222,9.4
2016,1,30,24.2,30.9,1.277777778,7.87
2016,1,31,23.9,32.5,1.638888889,0.51
2016,2,1,24.4,30.4,0.833333333,1.02
2016,2,2,25,31.5,1.75,13.97
2016,2,3,24.6,32.3,0.972222222,5.08
2016,2,4,24.5,33,1.277777778,0.76
2016,2,5,24.6,33.3,1.138888889,0
2016,2,6,24.9,30.7,1.222222222,33.27
2016,2,7,24.1,30.8,2.888888889,52.83
2016,2,8,24.4,31.4,1.5,61.72
2016,2,9,24.9,30.3,1.277777778,4.83
2016,2,10,23.6,31.4,1.333333333,101.09
2016,2,11,24.4,32.8,1.861111111,4.57
2016,2,12,24.5,32.3,0.916666667,35.31
2016,2,13,23.5,34.3,1.222222222,7.37
2016,2,14,24.2,32.7,1.444444444,23.37
2016,2,15,24.9,33.7,2.055555556,0
2016,2,16,24.6,30.3,1.916666667,0
2016,2,17,24.1,32.3,0.833333333,0
2016,2,18,23.7,32.1,1.388888889,13.72
2016,2,19,24.2,31,1.638888889,41.91
2016,2,20,24.9,29.9,2.777777778,117.09
2016,2,21,24.8,29.7,1.75,1.02
2016,2,22,24.8,32.5,1.861111111,1.78
2016,2,23,22.9,28.1,1.027777778,8.64
2016,2,24,24.6,30,2.055555556,23.88
2016,2,25,24.5,31.5,1.916666667,22.1
2016,2,26,24.1,32.4,1.916666667,4.83
2016,2,27,24.9,31.5,2.416666667,53.09
2016,2,28,25,32.6,2.527777778,0
2016,2,29,23.7,32.4,2.472222222,0
