4.24482
year,month,day,tmin,tmax,wind,rain
# Tawau, Sabah; 4.24482, 117.89115; 2015-2019
2015,1,1,24.1,30.9,2.528,84.4
2015,1,2,23.5,27.8,1.444,15.2
2015,1,3,23.6,32,1.944,0
2015,1,4,23.7,31.7,1.333,0
2015,1,5,23.6,31.9,1.583,8.6
2015,1,6,23.3,31.5,1.917,0
2015,1,7,23.7,29.8,1.694,0.4
2015,1,8,24.1,31.5,2.361,0
2015,1,9,24.3,31,2.25,0
2015,1,10,24.2,30.9,2.417,0
2015,1,11,23.8,31.6,2.25,0
2015,1,12,23.1,29.5,1.5,0
2015,1,13,23.2,29.6,1.278,0
2015,1,14,23.5,30,1.5,0
2015,1,15,22.8,31.7,1.639,0
2015,1,16,24.3,31.2,1.694,0
2015,1,17,23.1,32,2.222,0
2015,1,18,23.9,30.3,1.583,10.4
2015,1,19,23.4,25.4,0.917,17.4
2015,1,20,23.1,30.6,1.556,0.8
2015,1,21,22.8,26.3,1.389,37.4
2015,1,22,22.3,30.3,1.583,5.8
2015,1,23,21.3,30.5,1.75,0.4
2015,1,24,23.4,31.1,1.5,6.2
2015,1,25,23.5,31.8,1.556,0
2015,1,26,23.6,30.5,1.861,3
2015,1,27,22.6,30.8,1.75,0.2
2015,1,28,23,31.7,1.278,2.8
2015,1,29,23.6,31.2,2.056,0
2015,1,30,23.1,31.9,1.806,0
2015,1,31,24,31.4,2.417,0.6
2015,2,1,23.3,31.4,2.611,0
2015,2,2,23.9,31.9,1.75,3.2
2015,2,3,24.2,31.7,2.778,0
2015,2,4,23.2,31.9,2.306,0.2
2015,2,5,23,32,2.611,0
2015,2,6,22.2,31.9,2.583,0
2015,2,7,23,32.4,2.25,0
2015,2,8,22.5,31.8,2,2
2015,2,9,24.2,31,2.722,15.8
2015,2,10,24.4,31.1,2.361,0
2015,2,11,24.3,32.4,1.75,0
2015,2,12,23.6,32,2.25,0
2015,2,13,22.7,33.1,2.417,0
2015,2,14,23.5,33.3,2.056,0
2015,2,15,22,31.5,1.694,0
2015,2,16,22.2,32.3,1.806,0
2015,2,17,21,33.3,2.25,0
2015,2,18,22.6,32.7,2.167,0
2015,2,19,23.5,33.4,2.611,0
2015,2,20,23.4,32.4,2.25,0
2015,2,21,23.5,33.2,2.528,0
2015,2,22,22.6,32.7,2.167,0
2015,2,23,22.9,33.9,2.222,0
2015,2,24,23.4,32,1.222,4.8
2015,2,25,23.6,32,2.111,0
2015,2,26,23.3,32.1,1.5,0.2
2015,2,27,23.5,34.3,2.944,0
2015,2,28,22.6,34.5,2.417,0
2015,3,1,24.1,29.6,1.444,0.4
2015,3,2,23.3,33.1,2.361,22.4
2015,3,3,22.9,32.2,1.861,0
2015,3,4,23,32,2.167,0
2015,3,5,22.9,32.3,1.389,22.6
2015,3,6,22.3,31.6,1.917,0
2015,3,7,23,30.9,1.694,10.8
2015,3,8,22.3,32.2,1.861,0
2015,3,9,22.5,32.9,2.056,0
2015,3,10,23.2,33.5,3.333,0
