year,month,day,doy,tmin,tmax,wind,rain
2015,1,1,1,24.380690540786105,31.710820560716474,1.8239856143893498,16.713426701283186
2015,1,2,2,23.772162976069133,31.115953508715418,1.8750331826927253,1.5787109358143165
2015,1,3,3,23.37422189348637,27.89680156613635,1.8592174062320708,0.0
2015,1,4,4,23.483118960588182,28.844126364856656,1.8225284421827888,11.598382906288782
2015,1,5,5,23.850921954071957,30.357126453088735,1.8187021544930786,0.0
2015,1,6,6,24.055285565751223,31.688423761902612,1.9957656758021556,0.0
2015,1,7,7,23.493986229566588,32.40069356029731,1.6210978375782692,16.18313491000968
2015,1,8,8,23.901425297414708,26.649756505230684,0.7876309989461532,0.43290179421799635
2015,1,9,9,22.826864987124033,30.932134082153603,1.2629034611538275,0.0
2015,1,10,10,23.602460076670354,32.090504349225526,1.7748926458749728,0.0008446097853567681
2015,1,11,11,23.659021094813195,31.55115109936963,1.1158036035316434,40.221056688205024
2015,1,12,12,23.318817126699706,31.52867898971735,1.7065627013900286,0.0
2015,1,13,13,24.10797457109193,31.660903814352626,1.1777333225608395,0.0
2015,1,14,14,24.151563048831754,31.97133296180551,2.091211995907595,0.0
2015,1,15,15,23.395313347596645,30.596891648590425,1.9736100933298835,44.54669633801127
2015,1,16,16,23.3043351093835,31.321154129871076,1.4546248768281826,10.485177837018853
2015,1,17,17,22.727526689678893,28.029541699923847,1.5952238492854707,10.909988368813451
2015,1,18,18,23.487477444861433,29.76103677184341,1.2144401654676604,0.0
2015,1,19,19,23.227805155930383,29.699223232662963,1.5726137638794415,0.0
2015,1,20,20,23.913140201041394,32.22272323542279,1.6235654576271328,0.0
2015,1,21,21,22.838280851739636,29.778231129380195,1.1972262196501249,0.0
2015,1,22,22,21.017529331291904,31.99176632419738,2.260965493252341,0.0
2015,1,23,23,23.149897915951676,27.17221203092072,1.6391058854937335,0.0
2015,1,24,24,22.80485294162708,31.082377318468346,1.8204598849980187,0.0
2015,1,25,25,22.46612163452899,31.766208585946053,1.9224055015016956,0.0
2015,1,26,26,22.749869821118928,31.391040689242224,2.1568174479989697,5.034495047508597
2015,1,27,27,23.516697870433738,31.118087460476147,2.0371853020654336,4.115298416651247
2015,1,28,28,23.785700354082753,31.65267188626425,1.8969865443094553,26.002523458957143
2015,1,29,29,23.74385731897386,28.86838357313488,2.625187213435994,2.18689490255469
2015,1,30,30,23.884668750411223,31.67375583656887,2.294836884872136,0.0
2015,1,31,31,24.08495555639186,31.305772838845414,1.3296198277384896,0.0
2015,2,1,32,24.108054448895533,32.51140413386384,2.27745162357883,0.0
2015,2,2,33,24.099184288801297,31.501417022387795,2.325652230437997,0.0
2015,2,3,34,23.76548964505774,33.921606458223074,2.4659582554688395,0.0
2015,2,4,35,22.527502343687594,33.95512917644812,2.0733512634222047,0.0
2015,2,5,36,22.803929152663336,32.89985701817408,2.275019803540398,0.0
2015,2,6,37,23.454590183116913,32.54647583017961,2.3591232899532812,17.48589741480489
2015,2,7,38,23.280271665172194,33.001849010845504,2.1764894205613996,0.0
2015,2,8,39,23.076219464458223,33.75139607310039,2.274969426900162,3.0415818945535467
2015,2,9,40,22.92466998678933,32.60115376568328,2.9452503489947066,0.0
2015,2,10,41,22.989243016058566,32.21358530774012,1.7051211692053228,0.0
2015,2,11,42,24.19562689925866,31.907775513261555,2.5937009687779815,0.0
2015,2,12,43,23.67319929709111,32.61320822660309,2.824505115356933,0.0
2015,2,13,44,23.69114846671494,31.500928448025803,2.4807286595473017,0.0
2015,2,14,45,23.33536160973863,33.78041759626939,1.6122233963822323,0.0
2015,2,15,46,22.00358961971242,31.55170727064619,2.7718244828208545,0.0
2015,2,16,47,22.45442268265513,31.647098309134165,1.721353693962112,0.0
2015,2,17,48,23.066211620427815,31.848106485084017,2.030977406689693,0.0
2015,2,18,49,22.165286462753453,31.113945193937617,2.8740625116611644,0.0
2015,2,19,50,23.40309119467217,31.00040467725665,2.0607075857012003,2.8127945588432
2015,2,20,51,23.37801600810016,31.3956197481495,1.8447442763726583,0.0
2015,2,21,52,22.627438864890134,31.268912547866833,1.9619230109162211,0.0
2015,2,22,53,23.201089290770348,32.38766418251251,2.0233649624357612,0.0
2015,2,23,54,23.332333069338418,31.088432813745985,2.1240364205437676,0.0
2015,2,24,55,21.98402276627656,31.31175189435211,2.170275916765791,1.3179719781898094
2015,2,25,56,21.85842125446742,31.680113735590005,1.9735563427190017,0.0
2015,2,26,57,23.024607468671356,32.1869017096378,1.393588054589253,0.1941025901527154
2015,2,27,58,22.983247241114086,31.688706392745665,1.9834671211919088,1.6497267302802316
2015,2,28,59,21.472864377979434,30.84292718455737,1.49488903666683,0.0
2015,3,1,60,22.61616675413048,29.13571326451451,2.269528191825342,0.0
2015,3,2,61,22.870369899474124,31.37196330043034,1.9304387203388373,0.0
2015,3,3,62,22.387256918134522,31.870486332464818,1.881602524230693,8.916666127152867
2015,3,4,63,23.146646154887762,32.86377847220329,1.6488477181665537,0.0
2015,3,5,64,23.946636197888438,33.34922565932293,1.905922008294321,0.991346256421375
2015,3,6,65,23.862310624484007,32.00472449692306,1.7539197554109582,0.0
2015,3,7,66,23.358625146571995,32.78500624536514,1.8782787037964601,28.908781226053808
2015,3,8,67,23.636499012639355,33.220576844374484,2.4305450490543987,0.0
2015,3,9,68,22.89279243623361,32.96545824470412,2.3295679792386914,22.16865090067993
2015,3,10,69,21.955752103726244,32.47776102512225,2.5027368882415257,0.5003979770216138
2015,3,11,70,23.230026604064378,31.06412971826761,2.586764842725514,0.0
2015,3,12,71,22.5252916493114,32.390998779885884,2.308175073313145,0.0
2015,3,13,72,23.512309360923705,32.4361255377844,1.726652806217272,0.0
2015,3,14,73,22.14258985781523,32.54970080820663,2.656154480435062,0.0
2015,3,15,74,23.42709567115951,32.12855157712668,2.551521203333297,1.8799538273037533
2015,3,16,75,23.4262710312544,32.59645514342791,2.6310620539515597,0.9840113529025889
2015,3,17,76,22.741385842919478,32.19680990331826,1.9605413933615585,0.0
2015,3,18,77,23.895833519617785,33.1006765187213,1.120867808142499,0.0
2015,3,19,78,23.73322755901739,34.4445987181041,2.6173450250942905,0.0
2015,3,20,79,22.32853188408782,31.330416714670758,2.90669325083694,0.0
2015,3,21,80,23.110824442621045,32.811346552043744,2.984301371744861,0.0
2015,3,22,81,21.7838533483148,32.70487988543551,2.9482400619011457,0.0
2015,3,23,82,22.625818901141574,33.32083517199352,1.3743777714619168,0.0
2015,3,24,83,22.961153952098766,32.92472277733061,1.4491669157622213,0.0
2015,3,25,84,23.46646306854082,32.94922336873001,2.198180685640445,0.0
2015,3,26,85,23.3301323823451,32.6106031106003,1.7415217729746477,0.0
2015,3,27,86,23.804891465630117,32.65386502338883,2.022426408953418,0.0
2015,3,28,87,23.595360537674225,33.825478535307454,2.1281370975822185,0.0
2015,3,29,88,22.227865268698817,31.825886566663574,2.639702603541033,0.0
2015,3,30,89,23.20730829564158,31.430041823660634,2.812036903709569,0.0
2015,3,31,90,23.292772684623692,32.396872863063265,2.022536917365561,0.0
2015,4,1,91,23.140287391536617,32.29350184632138,2.315383476449866,0.0
2015,4,2,92,24.10418662649178,32.114509628415775,1.4799583636154985,0.0
2015,4,3,93,24.244247492136534,32.0454667436235,1.8106817367584889,15.322442051681268
2015,4,4,94,23.382903666193563,33.514344045445824,2.0049600745296488,0.0
2015,4,5,95,23.980477831087484,34.291417619200196,1.8950199320515624,1.8376741903014904
2015,4,6,96,24.018403073960457,32.17906946562115,1.615624094169591,0.0
2015,4,7,97,24.07416645161795,31.659840475837207,2.3291366956712203,0.0
2015,4,8,98,23.822728979517237,32.28182077064146,2.1889520602649633,0.0
2015,4,9,99,24.325396813086886,31.552835825175084,1.8912203956165228,0.0
2015,4,10,100,24.134304200567172,32.39884832145807,2.6520509753701047,0.0
2015,4,11,101,24.043804752617877,32.28752336484536,2.2484598807511977,0.0
2015,4,12,102,23.73475640320868,31.185894623163595,1.8033878579172662,0.0
2015,4,13,103,23.770681747083522,32.44397888991874,1.990834016504651,0.0
2015,4,14,104,23.45509707487975,31.708115786298293,1.9719657322933488,0.0
2015,4,15,105,23.76399495388978,33.28470542890359,2.104703781224016,0.0
2015,4,16,106,24.179422416099133,32.828583957662104,1.9284114465043674,0.0
2015,4,17,107,23.721710183293087,31.85309690653666,1.5697603938299045,0.0
2015,4,18,108,24.146702438931346,31.673219343354855,2.216040008539565,0.0
2015,4,19,109,24.027378414266213,33.39471001357238,1.9478942536096233,0.0
2015,4,20,110,24.689574410342765,33.30611816914851,1.19474779933976,0.0
2015,4,21,111,22.888739379306827,32.8459537973973,1.11901772800292,0.0
2015,4,22,112,22.44985765510699,33.26424559981682,1.6010926098437046,30.919261201785968
2015,4,23,113,23.544801001509985,32.79433044996641,2.216501955807063,48.11615466510424
2015,4,24,114,24.059183557165927,32.31142280149687,2.149109244535632,3.0816850717065383
2015,4,25,115,23.70765099462076,31.678061590785873,2.3638512400364586,0.0
2015,4,26,116,24.098803192668107,32.94961661398976,1.9096796052383618,0.0
2015,4,27,117,23.705823869525084,32.026489677027826,1.2866990304318184,0.0
2015,4,28,118,23.45247787524291,32.50417151937855,2.8543748648342238,0.0
2015,4,29,119,23.64729229924055,33.656820668373705,2.4669270492102235,0.0
2015,4,30,120,23.51393628148954,31.813926409478068,2.6512796115136394,4.217034154290513
2015,5,1,121,24.51229112132894,32.27514552970569,2.084280749352111,0.0
2015,5,2,122,23.926416707496994,32.835575318910294,1.7387744943045407,11.71071252558298
2015,5,3,123,24.165533580585514,32.50403062770813,2.416003195535316,12.202345404156134
2015,5,4,124,23.63213312999023,32.56729573591674,1.7598568899012184,3.760163070631507
2015,5,5,125,24.740018585236886,32.80973209791959,1.8527588100399501,0.0
2015,5,6,126,23.410735153181502,32.31673644101173,1.2199254536096702,0.0
2015,5,7,127,23.70265529698455,27.802475980528367,1.2782235876112311,1.9405332616074924
2015,5,8,128,23.995171525438632,32.24313311655642,1.924126024355537,1.6531124501904502
2015,5,9,129,24.396144260486995,32.77553674749654,1.6873242005643954,0.0
2015,5,10,130,22.896166313644148,32.878063998371495,1.4261515544380026,0.0
2015,5,11,131,23.81289644520294,32.86350148539775,1.6680225624962783,0.6992020634859674
2015,5,12,132,23.964692834508885,30.59070860757145,1.5073371577290138,0.0575196232648428
2015,5,13,133,24.186707887208954,30.06895238903511,1.9435093799790215,0.041040822495275776
2015,5,14,134,24.285921929929195,32.066960222054526,2.0376275235105696,4.529613612843735
2015,5,15,135,23.554833950497365,31.81140617264503,2.1350328632859226,2.652775517845269
2015,5,16,136,23.04411661688559,32.63451711252892,2.8749454709235835,8.070366561177693
2015,5,17,137,23.215091576435203,32.81607377798322,1.9012064806691886,18.017085304407953
2015,5,18,138,24.841149065988436,32.5360449296222,2.4110878810218654,16.693970940575703
2015,5,19,139,23.760836201382553,32.54515366470463,2.144842137397278,52.79854322877056
2015,5,20,140,23.97215231069913,32.404532788210204,1.2269686012962449,0.0
2015,5,21,141,24.18903907964358,30.627134484260353,1.952028315122233,1.8064504600827451
2015,5,22,142,24.00259565446036,32.55970704574411,1.8372381684275498,0.0
2015,5,23,143,22.625422359239092,32.874447398451444,1.5389790466861755,0.0
2015,5,24,144,23.303365395008694,32.23713706328916,1.8126128796233798,0.0
2015,5,25,145,24.2941324092848,32.48121357537493,1.0484874288915724,0.0
2015,5,26,146,24.30921217852692,32.36221366936409,1.704392974228439,0.0
2015,5,27,147,24.124970394364933,32.65431322554572,1.4146900249178034,0.0
2015,5,28,148,23.662092117877478,32.765726140938796,1.8620647957103238,0.0
2015,5,29,149,23.947995804334283,31.885192935278592,2.099300362051607,0.0
2015,5,30,150,22.813178999406045,32.576882268438624,2.3905386198088863,0.0
2015,5,31,151,24.208502770301486,32.36718085648597,1.647179280889381,0.0
2015,6,1,152,25.745462578936454,32.46417746157691,1.4129028706518845,0.0
2015,6,2,153,24.70247836028124,32.19349495484478,1.226925497188798,0.0
2015,6,3,154,23.84624206486855,32.82583396455933,0.9285680090896361,0.0
2015,6,4,155,23.88051527726626,32.755636724829884,2.0397092527635285,26.645945468814315
2015,6,5,156,24.38002725410054,32.49441102220736,1.5055298351581026,14.912736425754519
2015,6,6,157,23.466814540695058,32.33299774427582,2.105352747251649,0.0
2015,6,7,158,24.8640885335851,32.34922792283551,1.887278173813531,0.0
2015,6,8,159,24.416501855528114,32.77377851028799,1.221891004401316,0.0
2015,6,9,160,25.459389987716957,31.799942920713242,1.9878023839356562,0.0
2015,6,10,161,23.51077107921602,29.969798063593775,1.866751500303946,0.0
2015,6,11,162,23.94812525419287,32.05438476418976,1.9597246958933026,0.0
2015,6,12,163,24.358358232056318,31.825725956672485,2.0702305961396292,0.0
2015,6,13,164,24.760794647611437,32.19901549179344,2.226483634063802,0.0
2015,6,14,165,23.612038952082774,31.996368671803364,1.5785077507830794,0.0
2015,6,15,166,23.96703528256716,32.1760975823044,1.4285277308191087,0.7730540630527816
2015,6,16,167,24.20083244672279,31.463402219316833,1.1445836848583708,0.0
