3.9694
year,month,day,tmin,tmax,wind,rain
# Teluk Intan; 3.9694 N, 100.9835 E; 2016-2020
2016,1,1,22.5,32,0.833333333,1.52
2016,1,2,23.8,31.7,1.194444444,4.57
2016,1,3,23.9,32,1.444444444,0
2016,1,4,24.5,34.1,1.083333333,0
2016,1,5,24,33.8,1.194444444,0
2016,1,6,24,34,1.194444444,0
2016,1,7,24.4,33,1.388888889,0
2016,1,8,24.7,33.6,1.138888889,0
2016,1,9,24.7,33.4,1.444444444,0
2016,1,10,24.4,33.1,1.5,0
2016,1,11,24.6,33.2,1.222222222,0
2016,1,12,24.8,33.4,1.277777778,0
2016,1,13,25,33.2,1.388888889,0
2016,1,14,24.9,32.7,1.444444444,0
2016,1,15,24.6,32.1,1.222222222,0
2016,1,16,24.7,31.2,0.666666667,10.92
2016,1,17,24.7,32,1.555555556,0.51
2016,1,18,25,33,1.388888889,9.4
2016,1,19,24.9,33,1.222222222,0
2016,1,20,25,33,1.277777778,0
2016,1,21,25,35,1.277777778,0
2016,1,22,25,33.5,1.555555556,0
2016,1,23,24,34,1.388888889,1.52
2016,1,24,23.9,34.7,1.277777778,1.02
2016,1,25,23.8,34.5,1.333333333,0
2016,1,26,23.9,32,1.555555556,0
2016,1,27,24.6,34,1.444444444,0.51
2016,1,28,24,34,1.388888889,0
2016,1,29,24,33.7,1.583333333,1.27
2016,1,30,24.4,33.6,1.333333333,0
2016,1,31,24.5,34.1,1.583333333,0
2016,2,1,24,33.2,1.583333333,0
2016,2,2,24,34.1,1.555555556,0
2016,2,3,24,32.3,1.333333333,0
2016,2,4,23.9,31,0.972222222,15.24
2016,2,5,24.1,31,0.916666667,0.51
2016,2,6,24.6,31.5,0.722222222,6.86
2016,2,7,23,32.7,1.083333333,5.84
2016,2,8,22.6,32.8,1.277777778,9.91
2016,2,9,22.7,31.1,1.138888889,0
2016,2,10,24.7,33,1.194444444,0
2016,2,11,24.5,33.1,1.555555556,0
2016,2,12,24.4,34.2,1.444444444,0.25
2016,2,13,24.8,34,1.222222222,0
2016,2,14,25,33.5,1.333333333,0
2016,2,15,24,32.3,1.555555556,0
2016,2,16,24,33.8,1.333333333,17.27
2016,2,17,24,32.6,1.388888889,0.25
2016,2,18,23.8,33.1,1.444444444,0
2016,2,19,24.1,32,1.75,0.25
2016,2,20,24.5,31.3,1.555555556,12.95
2016,2,21,23,33.2,1.388888889,0
2016,2,22,23,33.5,1.444444444,0
2016,2,23,23.1,34,1.583333333,0
2016,2,24,23,33.3,1.083333333,0
2016,2,25,23,34,1.333333333,2.79
2016,2,26,22,34,1.222222222,0
2016,2,27,22.3,33,1.638888889,0
2016,2,28,23.7,33.3,1.333333333,0
2016,2,29,23.7,33,1.694444444,0
2016,3,1,24.9,33.5,1.333333333,0.51
2016,3,2,24.7,33,1.333333333,0
2016,3,3,24.4,35,1.333333333,0
2016,3,4,24.6,34,1.5,0
2016,3,5,25.4,33.5,1.333333333,19.05
2016,3,6,25.5,34.1,1.277777778,0.25
2016,3,7,25.8,34.1,1.222222222,0
2016,3,8,25,33.6,1.444444444,0
2016,3,9,25,34.3,1.75,0
2016,3,10,25.2,34.6,1.944444444,0
2016,3,11,25,35.3,1.805555556,0
2016,3,12,24.9,34.5,1.583333333,0
2016,3,13,25.1,35.1,1.194444444,0
2016,3,14,26,34.4,1.388888889,0
2016,3,15,25,34,1.694444444,0
2016,3,16,25,34.6,1.333333333,0
2016,3,17,25.4,34.7,1.638888889,0
2016,3,18,26.3,35.5,1.333333333,0
2016,3,19,26,34.4,1.555555556,0
2016,3,20,25.9,35.3,1.333333333,0
2016,3,21,26,35.2,2.416666667,0
2016,3,22,25.5,33.4,1.75,0.25
2016,3,23,26,33,1.555555556,0
2016,3,24,25.7,35,2.166666667,0
2016,3,25,25.6,35.1,1.333333333,0
2016,3,26,25.9,33.7,1.277777778,0
2016,3,27,25,34,1.555555556,24.89
2016,3,28,24.6,35,1.083333333,0
2016,3,29,24.4,34,1.388888889,54.1
2016,3,30,24.6,34.4,1.333333333,0
2016,3,31,25.2,35,1.333333333,0
2016,4,1,25.5,34.3,1.333333333,0
2016,4,2,25,33.9,1.555555556,0
2016,4,3,24.4,35,1.333333333,0
2016,4,4,24.8,34.4,1.75,0
2016,4,5,26,33,1.138888889,0
2016,4,6,26,34.2,1.694444444,0
2016,4,7,26,33,1.194444444,0
2016,4,8,26,34.8,1.222222222,0
2016,4,9,25,35,1.194444444,0
2016,4,10,25.3,36,2.305555556,0
2016,4,11,25.4,34.4,2.305555556,0
2016,4,12,25.9,35,2.305555556,0
2016,4,13,25,36,2.361111111,0
2016,4,14,25,35.6,2.222222222,0
2016,4,15,25.4,34.4,1.861111111,0
2016,4,16,26,35,2.055555556,0
2016,4,17,25,32,1.027777778,0
2016,4,18,25.1,34.1,1.222222222,12.95
2016,4,19,25.5,35.2,1.388888889,0
2016,4,20,25,35,1.222222222,0
2016,4,21,25.2,35,1.083333333,24.38
2016,4,22,25.5,33.6,1.083333333,0
2016,4,23,25.9,34.7,1.555555556,0
2016,4,24,26,33.1,1.027777778,0
2016,4,25,25.6,35,1.222222222,0
2016,4,26,25.9,34.1,1.194444444,0
2016,4,27,25.6,33.2,1.083333333,0.25
2016,4,28,26,34.3,1.277777778,0.25
2016,4,29,25,34.4,1.861111111,0
2016,4,30,25,33.5,1.638888889,19.56
2016,5,1,25,34.4,1.333333333,0
2016,5,2,25.4,34.2,1.388888889,0
2016,5,3,25.5,34,1.333333333,0
2016,5,4,25.9,34.1,1.5,0
2016,5,5,26,34.9,1.638888889,0
2016,5,6,25.5,34,1.583333333,5.08
2016,5,7,24.8,34.4,1.694444444,2.03
2016,5,8,24.6,33.4,1.222222222,4.83
2016,5,9,24.7,34.4,1.277777778,32.51
2016,5,10,25,34.1,1.222222222,3.05
2016,5,11,24.7,30,0.611111111,22.86
2016,5,12,25,33.5,1.277777778,0.25
2016,5,13,25,32.1,0.611111111,2.79
2016,5,14,25.4,33,1.138888889,0.51
2016,5,15,25.5,34,1.194444444,4.06
2016,5,16,25.6,33.2,0.916666667,16
2016,5,17,25,34,1.694444444,4.06
2016,5,18,24.9,33,1.194444444,29.97
2016,5,19,24.9,33,0.722222222,0.76
2016,5,20,24,32.7,1.583333333,0
2016,5,21,24,29.7,0.972222222,7.11
2016,5,22,23.5,32,0.777777778,34.04
2016,5,23,25,34,0.666666667,0
2016,5,24,25.1,34.4,0.916666667,1.52
