3.4505
year,month,day,tmin,tmax,wind,rain
# Termeloh, Pahang; 3.4505, 102.4189; 2017-2019
2017,1,1,22.9,29.7,0.8,43.6
2017,1,2,23.5,29.3,0.5,9
2017,1,3,23.8,29.2,0.5,3.4
2017,1,4,23,29.4,0.4,0
2017,1,5,24,29.1,0.6,0
2017,1,6,23.3,33.9,0.5,0
2017,1,7,24.2,32.6,0.6,0
2017,1,8,22.8,33.9,0.5,0
2017,1,9,23.5,34,0.7,0
2017,1,10,23.6,33.5,0.7,0
2017,1,11,24.4,33.1,0.5,0.4
2017,1,12,23.1,33.2,0.6,15.6
2017,1,13,23.1,31.1,0.7,0
2017,1,14,23.4,33.9,0.7,76.6
2017,1,15,23.2,33.2,1.1,17.4
2017,1,16,23.4,33.6,0.7,11
2017,1,17,23.8,32.9,1,3
2017,1,18,23.6,33.8,1,0
2017,1,19,23.1,33.7,1.2,0
2017,1,20,23.6,34.3,1.1,1.2
2017,1,21,23.2,25.9,0.9,4.6
2017,1,22,22.7,30.1,1,10
2017,1,23,23.8,29.9,0.7,24
2017,1,24,22.7,24.2,0.8,122.2
2017,1,25,22.4,31.1,1,21.8
2017,1,26,23.4,29.5,0.7,8.2
2017,1,27,23.3,28.7,0.9,1.6
2017,1,28,22.5,31.6,1.2,0
2017,1,29,22.6,31.5,0.8,1.6
2017,1,30,24.1,32.4,1,0
2017,1,31,23.6,31.7,0.9,11
2017,2,1,23.7,30.6,0.5,0
2017,2,2,23.4,31.6,0.7,0
2017,2,3,24,34.6,0.9,7.6
2017,2,4,24.6,33.3,0.9,3
2017,2,5,24.5,34.7,0.8,0.6
2017,2,6,24.1,33.5,0.8,0.4
2017,2,7,23.3,31.9,0.8,0
2017,2,8,24.5,32.3,0.6,0
2017,2,9,23.9,33.4,0.8,0
2017,2,10,22.8,33.4,1.2,0
2017,2,11,23.3,31.2,1.2,0
2017,2,12,22.7,31.2,1.4,2.6
2017,2,13,23.3,30.5,1.4,2.2
2017,2,14,23.7,31,1.5,2
2017,2,15,23.5,31.4,1.7,3.2
2017,2,16,22.5,31.2,1.2,0
2017,2,17,22.5,32.9,1,0
2017,2,18,22.7,31.9,1.1,0
2017,2,19,24.2,32.5,1.3,0
2017,2,20,23.3,34.5,1,0
2017,2,21,24.3,33.1,1,0
2017,2,22,24.1,33.9,1,0
2017,2,23,23.6,35.6,1.1,0
2017,2,24,23.8,33.5,1,1.6
2017,2,25,23.3,33.9,1.1,28.6
2017,2,26,24.1,34.4,1.2,52
2017,2,27,23.9,30.3,1,18.2
2017,2,28,23,29.7,1,1.2
2017,3,1,24,28.5,0.6,26.2
2017,3,2,23.5,30,0.8,19.8
2017,3,3,22.9,31.9,1,22
2017,3,4,22.6,33.2,0.9,0
2017,3,5,24.1,33.6,0.9,0
2017,3,6,23.8,34,0.9,0
2017,3,7,24.1,32.7,0.8,0
2017,3,8,23.9,34.1,1.1,0
2017,3,9,24.8,33.1,1.4,0
2017,3,10,23.4,34.2,1.2,0
